"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Axtell ISD (161918)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Connally ISD (161921)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Dawson ISD (175904)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Groesbeck ISD (147902)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Hubbard ISD (109905)",14
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Mart ISD (161908)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Mexia ISD (147903)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Penelope ISD (109914)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"Waco ISD (161914)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",100,"West ISD (161916)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",200,,"."
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",200,"Total Transfers In",31
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",100,"Transfers In From",300,,"."
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",100,"Axtell ISD (161918)",8
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",100,"Hallsburg ISD (161924)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",100,"Hubbard ISD (109905)",15
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",100,"Penelope ISD (109914)",8
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",100,"Robinson ISD (161922)",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",200,,"."
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",200,"Total Transfers Out",-9999999
"2015-16",12,"Region XII Waco","Mount Calm ISD (109910)",200,"Transfers Out To",300,,"."

