"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",100,"Amherst ISD (140901)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",100,"Dimmitt ISD (035901)",12
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",100,"Lazbuddie ISD (185904)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",100,"Olton ISD (140905)",16
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",100,"Sudan ISD (140908)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",200,"","."
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",100,"Transfers In From",300,"","."
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",100,"Amherst ISD (140901)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",100,"Dimmitt ISD (035901)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",100,"Lazbuddie ISD (185904)",9
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",100,"Muleshoe ISD (009901)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",100,"Olton ISD (140905)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",100,"Sudan ISD (140908)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",200,"","."
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",200,"Total Transfers Out",24
"2013-14",17,"Region XVII Lubbock","Springlake-Earth ISD (140907)",200,"Transfers Out To",300,"","."

