"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"East Central ISD (015911)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"Falls City ISD (128904)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"Harlandale ISD (015904)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"Jourdanton ISD (007902)",10
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"Northside ISD (015915)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"Pleasanton ISD (007905)",37
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"Somerset ISD (015909)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",100,"Southside ISD (015917)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",200,"","."
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",200,"Total Transfers In",57
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",100,"Transfers In From",300,"","."
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Brooks Academy Of Science And Engi (015830)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Devine ISD (163901)",5
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Great Hearts Texas (015835)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Harlandale ISD (015904)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Idea Public Schools (108807)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Jourdanton ISD (007902)",47
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"McMullen County ISD (162904)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Natalia ISD (163903)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"New Frontiers Charter School (015805)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Pleasanton ISD (007905)",32
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Randolph Field ISD (015906)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"San Antonio ISD (015907)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Somerset ISD (015909)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Southwest ISD (015912)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",200,"","."
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",200,"Total Transfers Out",114
"2014-15",20,"Region XX San Antonio","Poteet ISD (007906)",200,"Transfers Out To",300,"","."

