"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"Clint ISD (071901)",21
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"El Paso ISD (071902)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"Ft Hancock ISD (115901)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"San Elizario ISD (071904)",15
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"Sierra Blanca ISD (115902)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"Socorro ISD (071909)",12
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"Tornillo ISD (071908)",6
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",100,"Ysleta ISD (071905)",7
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",200,"","."
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",200,"Total Transfers In",68
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",100,"Transfers In From",300,"","."
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Clint ISD (071901)",12
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"El Paso ISD (071902)",14
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Harmony Science Acad (El Paso) (071806)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Harmony Science Academy (101846)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Iraan-Sheffield ISD (186903)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Northwest ISD (061911)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"San Elizario ISD (071904)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Socorro ISD (071909)",8
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Tornillo ISD (071908)",13
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",100,"Ysleta ISD (071905)",-9999999
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",200,"","."
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",200,"Total Transfers Out",61
"2012-13",19,"Region XIX El Paso","Fabens ISD (071903)",200,"Transfers Out To",300,"","."

