"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Callisburg ISD (049905)",15
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Denton ISD (061901)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Era ISD (049906)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Krum ISD (061905)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Lindsay ISD (049907)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Muenster ISD (049902)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Sanger ISD (061908)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Sivells Bend ISD (049909)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Tioga ISD (091907)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Valley View ISD (049903)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Valley View ISD (108916)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",100,"Whitesboro ISD (091909)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",34
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Callisburg ISD (049905)",135
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Celina ISD (043903)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Collinsville ISD (091902)",14
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Denton ISD (061901)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Era ISD (049906)",201
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grapevine-Colleyville ISD (220906)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Lake Worth ISD (220910)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Lindsay ISD (049907)",74
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Muenster ISD (049902)",19
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"S And S CISD (091914)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Sanger ISD (061908)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Sivells Bend ISD (049909)",39
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Tioga ISD (091907)",-999
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Valley View ISD (049903)",66
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Walnut Bend ISD (049908)",46
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Whitesboro ISD (091909)",20
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",650
"2017-2018",11,"Region XI Fort Worth","Gainesville ISD (049901)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

