T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"BELLVILLE ISD  -  008901",18
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"BURLESON ISD  -  126902",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"BURTON ISD  -  239903",25
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"COLLEGE STATION ISD  -  021901",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"CONROE ISD  -  170902",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"CYPRESS-FAIRBANKS ISD  -  101907",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"FAYETTEVILLE ISD  -  075906",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"FORT BEND ISD  -  079907",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"GIDDINGS ISD  -  144901",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"GRAND PRAIRIE ISD  -  057910",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"HEMPSTEAD ISD  -  237902",11
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"HOUSTON ISD  -  101912",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"HUMBLE ISD  -  101913",-999
"2022-2023",06,"REGION VI HUNTSVILLE","BRENHAM ISD  -  239901","Traditional ISD/CSD",100,"Transfers In From",100,"JIM HOGG COUNTY ISD  -  124901",-999
