T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Aldine ISD (101902)",87
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Channelview ISD (101905)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Clear Creek ISD (084910)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Conroe ISD (170902)",57
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Crosby ISD (101906)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Cypress-Fairbanks ISD (101907)",92
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Fort Bend ISD (079907)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Houston ISD (101912)",17
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Humble ISD (101913)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Huntsville ISD (236902)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Livingston ISD (187907)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Magnolia ISD (170906)",28
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Montgomery ISD (170903)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Navasota ISD (093904)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Nederland ISD (123905)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Pasadena ISD (101917)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Spring ISD (101919)",173
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Tomball ISD (101921)",73
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Waller ISD (237904)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",100,"Willis ISD (170904)",-999
"2020-2021",04,"Region IV Houston","Klein ISD (101915)","Traditional ISD/CSD",100,"Transfers In From",200,,
