"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",100,"Transfers In From",100,"Gilmer ISD (230902)",41
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",100,"Transfers In From",100,"Ore City ISD (230903)",-9999999
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",100,"Transfers In From",100,"Pittsburg ISD (032902)",5
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",100,"Transfers In From",200,"","."
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",100,"Transfers In From",300,"","."
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",100,"Gilmer ISD (230902)",21
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",100,"Harmony ISD (230905)",16
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",100,"New Diana ISD (230906)",-9999999
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",100,"Ore City ISD (230903)",-9999999
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",100,"Pittsburg ISD (032902)",-9999999
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",100,"Union Grove ISD (230908)",-9999999
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",200,"","."
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",200,"Total Transfers Out",44
"2011-12",07,"Region VII Kilgore","Union Hill ISD (230904)",200,"Transfers Out To",300,"","."

