"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Bonham ISD (074903)",6
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Campbell ISD (116910)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Celeste ISD (116902)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Commerce ISD (116903)",9
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Fannindel ISD (060914)",8
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Greenville ISD (116905)",11
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Honey Grove ISD (074907)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Leonard ISD (074909)",5
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",100,"Lone Oak ISD (116906)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",46
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Allen ISD (043901)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Bells ISD (091901)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Caddo Mills ISD (116901)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Celeste ISD (116902)",13
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Commerce ISD (116903)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Cumby ISD (112905)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Greenville ISD (116905)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Leonard ISD (074909)",6
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Terrell ISD (129906)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Trenton ISD (074912)",-9999999
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",33
"2016-2017",10,"Region X Richardson","Wolfe City ISD (116909)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

