T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfers Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",100,"Andrews ISD (002901)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",100,"Big Spring ISD (114901)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",100,"Ector County ISD (068901)",52
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",100,"Greenwood ISD (165902)",20
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",100,"Lamesa ISD (058906)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",100,"Stanton ISD (156902)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",200,,0
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",83
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",100,"Transfers In From",300,,0
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Axtell ISD (161918)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Center Point ISD (133901)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Compass Academy Charter School (068802)",41
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Crane ISD (052901)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Ector County ISD (068901)",214
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Glasscock County ISD (087901)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grady ISD (156905)",63
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grand Prairie ISD (057910)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grapevine-Colleyville ISD (220906)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Greenwood ISD (165902)",50
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Hallsville ISD (102904)",26
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Harmony Science Acad (El Paso) (071806)",15
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Inspire Academies (015808)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"International Leadership Of Texas (057848)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Lamesa ISD (058906)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Midland Academy Charter School (165802)",421
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Northwest ISD (061911)",-999
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",148
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Rankin ISD (231902)",11
"2018-2019",18,"Region XVIII Midland","Midland ISD (165901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Rice CISD (045903)",-999
