"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",100,"Comanche ISD (047901)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",100,"De Leon ISD (047902)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",100,"Dublin ISD (072902)",30
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",100,"Gorman ISD (067904)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",100,"Stephenville ISD (072903)",35
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",200,"","."
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",200,"Total Transfers In",71
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",100,"Transfers In From",300,"","."
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",100,"De Leon ISD (047902)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",100,"Dublin ISD (072902)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",100,"Erath Excels Academy Inc (072802)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",100,"Huckabay ISD (072908)",8
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",100,"Mullin ISD (167902)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",100,"Stephenville ISD (072903)",23
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",200,"","."
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",200,"Total Transfers Out",41
"2013-14",11,"Region XI Fort Worth","Lingleville ISD (072909)",200,"Transfers Out To",300,"","."

