"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",100,"Cuero ISD (062901)",9
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",100,"Edna ISD (120901)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",100,"Ezzell ISD (143906)",20
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",100,"Gonzales ISD (089901)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",100,"Shiner ISD (143903)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",100,"Sweet Home ISD (143905)",23
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",100,"Victoria ISD (235902)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",200,"","."
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",200,"Total Transfers In",60
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",100,"Transfers In From",300,"","."
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Corpus Christi ISD (178904)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Cuero ISD (062901)",7
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"El Campo ISD (241903)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Ezzell ISD (143906)",17
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Goliad ISD (088902)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Gonzales ISD (089901)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Hallettsville ISD (143901)",10
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Industrial ISD (120905)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Jourdanton ISD (007902)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Mexia ISD (147903)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Schulenburg ISD (075903)",-9999999
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Shiner ISD (143903)",11
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Sweet Home ISD (143905)",77
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Victoria ISD (235902)",8
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",100,"Vysehrad ISD (143904)",5
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",200,"","."
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",200,"Total Transfers Out",147
"2011-12",03,"Region III Victoria","Yoakum ISD (062903)",200,"Transfers Out To",300,"","."

