"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",100,"Transfers In From",100,"Hermleigh ISD (208901)",9
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",100,"Transfers In From",100,"Ira ISD (208903)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",100,"Transfers In From",100,"Rotan ISD (076904)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",100,"Transfers In From",200,"","."
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",100,"Transfers In From",300,"","."
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Abilene ISD (221901)",12
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Borden County ISD (017901)",15
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Farmersville ISD (043904)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Hermleigh ISD (208901)",97
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Highland ISD (177905)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Ira ISD (208903)",132
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Jayton-Girard ISD (132902)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Mullin ISD (167902)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Roscoe Collegiate ISD (177901)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"San Angelo ISD (226903)",9
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"South Plains Academy Charter Distr (152803)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",9
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",100,"West ISD (161916)",-9999999
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",200,"","."
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",200,"Total Transfers Out",289
"2013-14",14,"Region XIV Abilene","Snyder ISD (208902)",200,"Transfers Out To",300,"","."

