"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Abilene ISD (221901)",38
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Baird ISD (030903)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Clyde CISD (030902)",54
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Jim Ned CISD (221911)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Wylie ISD (221912)",10
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Abilene ISD (221901)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Baird ISD (030903)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Clyde CISD (030902)",27
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Hawley ISD (127904)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Jim Ned CISD (221911)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Victoria ISD (235902)",-999
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",45
"2017-2018",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

