"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",100,"George West ISD (149901)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",100,"Goliad ISD (088902)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",100,"Kenedy ISD (128902)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",100,"Pettus ISD (013903)",11
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",100,"Skidmore-Tynan ISD (013905)",10
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",100,"Three Rivers ISD (149902)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",200,"","."
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",200,"Total Transfers In",31
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",100,"Transfers In From",300,"","."
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Bruceville-Eddy ISD (161919)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Corpus Christi ISD (178904)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Dallas ISD (057905)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Flour Bluff ISD (178914)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"George West ISD (149901)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Goliad ISD (088902)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Kenedy ISD (128902)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Pawnee ISD (013902)",36
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Pettus ISD (013903)",71
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"San Antonio ISD (015907)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"San Benito CISD (031912)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Sinton ISD (205906)",20
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Skidmore-Tynan ISD (013905)",187
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"St Mary's Academy Charter School (013801)",454
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",8
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Three Rivers ISD (149902)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Tuloso-Midway ISD (178912)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"Victoria ISD (235902)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",100,"West Oso ISD (178915)",-9999999
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",200,"","."
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",200,"Total Transfers Out",799
"2013-14",02,"Region II Corpus Christi","Beeville ISD (013901)",200,"Transfers Out To",300,"","."

