"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",100,"Abilene ISD (221901)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",100,"Blackwell CISD (177903)",6
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",100,"Highland ISD (177905)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",100,"Jim Ned CISD (221911)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",100,"Merkel ISD (221904)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",100,"Roscoe Collegiate ISD (177901)",9
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",200,"","."
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",200,"Total Transfers In",24
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",100,"Transfers In From",300,"","."
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Abilene ISD (221901)",14
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Anson ISD (127901)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Axtell ISD (161918)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Blackwell CISD (177903)",24
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Colorado ISD (168901)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Gladewater ISD (092901)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Hermleigh ISD (208901)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Highland ISD (177905)",101
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Loraine ISD (168902)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Merkel ISD (221904)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Roby CISD (076903)",15
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Roscoe Collegiate ISD (177901)",55
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"San Angelo ISD (226903)",11
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"San Antonio ISD (015907)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Snyder ISD (208902)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",100,"Trent ISD (221905)",5
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",200,"","."
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",200,"Total Transfers Out",242
"2011-12",14,"Region XIV Abilene","Sweetwater ISD (177902)",200,"Transfers Out To",300,"","."

