T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfers Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Alba-Golden ISD (250906)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Athens ISD (107901)",16
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Brownsboro ISD (107902)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Canton ISD (234902)",15
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Eustace ISD (107905)",25
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Kaufman ISD (129903)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Kemp ISD (129904)",50
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Malakoff ISD (107906)",16
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Murchison ISD (107908)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Palestine ISD (001907)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Rains ISD (190903)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Terrell ISD (129906)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Trinidad ISD (107907)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",100,"Wills Point ISD (234907)",-999
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",200,,0
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",144
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",100,"Transfers In From",300,,0
"2018-2019",10,"Region X Richardson","Mabank ISD (129905)","Traditional ISD/CSD",200,"Transfers Out To",100,"Athens ISD (107901)",-999
