"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Alba-Golden ISD (250906)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Athens ISD (107901)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Canton ISD (234902)",10
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Edgewood ISD (234903)",36
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Grand Saline ISD (234904)",71
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Kaufman ISD (129903)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Martins Mill ISD (234905)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Mineola ISD (250903)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Van ISD (234906)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"West Rusk County Consolidated ISD (201914)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Wills Point ISD (234907)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",100,"Yantis ISD (250905)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",138
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Canton ISD (234902)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Edgewood ISD (234903)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Grand Saline ISD (234904)",20
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Rains ISD (190903)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",100,"Wills Point ISD (234907)",-999
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",34
"2017-2018",07,"Region VII Kilgore","Fruitvale ISD (234909)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

