"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Big Spring ISD (114901)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Coahoma ISD (114902)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Crosbyton CISD (054901)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Hermleigh ISD (208901)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Ira ISD (208903)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Lamesa ISD (058906)",43
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"O'Donnell ISD (153903)",8
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Post ISD (085902)",28
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Sands CISD (058909)",7
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",100,"Snyder ISD (208902)",18
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",200,"","."
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",200,"Total Transfers In",115
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",100,"Transfers In From",300,"","."
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",200,"Transfers Out To",100,"O'Donnell ISD (153903)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",200,"Transfers Out To",100,"Post ISD (085902)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",200,"Transfers Out To",100,"Sands CISD (058909)",-9999999
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",200,"Transfers Out To",200,"","."
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",200,"Transfers Out To",200,"Total Transfers Out",5
"2014-15",17,"Region XVII Lubbock","Borden County ISD (017901)",200,"Transfers Out To",300,"","."

