"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Arlington ISD (220901)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Avalon ISD (070901)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Blooming Grove ISD (175902)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Cedar Hill ISD (057904)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Corsicana ISD (175903)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Dallas ISD (057905)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Desoto ISD (057906)",20
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Duncanville ISD (057907)",10
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Ennis ISD (070903)",22
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Ferris ISD (070905)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Italy ISD (070907)",16
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Itasca ISD (109907)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Kennedale ISD (220914)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Lancaster ISD (057913)",9
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Mansfield ISD (220908)",6
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Maypearl ISD (070915)",34
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Midlothian ISD (070908)",58
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Milford ISD (070909)",-9999999
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Palmer ISD (070910)",18
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",100,"Red Oak ISD (070911)",62
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",200,"","."
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",200,"Total Transfers In",280
"2013-14",10,"Region X Richardson","Waxahachie ISD (070912)",100,"Transfers In From",300,"","."
