T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"CLEVELAND ISD  -  146901",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"COLDSPRING-OAKHURST CISD  -  204901",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"CONROE ISD  -  170902",96
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"GLEN ROSE ISD  -  213901",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"HUNTSVILLE ISD  -  236902",27
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"KLEIN ISD  -  101915",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"LIVINGSTON ISD  -  187907",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"MAGNOLIA ISD  -  170906",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"MONTGOMERY ISD  -  170903",12
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"NEW WAVERLY ISD  -  236901",12
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"SHEPHERD ISD  -  204904",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",100,"TOMBALL ISD  -  101921",-999
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",169
"2021-2022",06,"REGION VI HUNTSVILLE","WILLIS ISD  -  170904","Traditional ISD/CSD",100,"Transfers In From",300,,"."
