"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Athens ISD (107901)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Buffalo ISD (145901)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Cayuga ISD (001902)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Crockett ISD (113901)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Elkhart ISD (001903)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Frankston ISD (001904)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Grapeland ISD (113902)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Jacksonville ISD (037904)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Kemp ISD (129904)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Neches ISD (001906)",5
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Oakwood ISD (145907)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Westwood ISD (001908)",38
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",100,"Whitehouse ISD (212906)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",200,"","."
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",200,"Total Transfers In",65
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",100,"Transfers In From",300,"","."
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Athens ISD (107901)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Axtell ISD (161918)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Belton ISD (014903)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Cayuga ISD (001902)",31
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Cross Roads ISD (107904)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Dallas ISD (057905)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Elkhart ISD (001903)",33
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Frankston ISD (001904)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Grapeland ISD (113902)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Greenville ISD (116905)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Honors Academy (057825)",37
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Jacksonville ISD (037904)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Lone Oak ISD (116906)",-9999999
"2012-13",07,"Region VII Kilgore","Palestine ISD (001907)",200,"Transfers Out To",100,"Marshall ISD (102902)",-9999999
