"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",100,"Transfers In From",100,"Cisco ISD (067902)",-9999999
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",100,"Transfers In From",100,"Eastland ISD (067903)",6
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",100,"Transfers In From",100,"Stephenville ISD (072903)",-9999999
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",100,"Transfers In From",200,"","."
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",100,"Transfers In From",300,"","."
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",200,"Transfers Out To",100,"Cisco ISD (067902)",-9999999
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",200,"Transfers Out To",100,"Eastland ISD (067903)",29
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",200,"Transfers Out To",100,"Strawn ISD (182905)",-9999999
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",200,"Transfers Out To",200,"","."
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",200,"Transfers Out To",200,"Total Transfers Out",34
"2014-15",14,"Region XIV Abilene","Ranger ISD (067907)",200,"Transfers Out To",300,"","."

