"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Abilene ISD (221901)",31
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Baird ISD (030903)",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Clyde CISD (030902)",56
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Hawley ISD (127904)",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",100,"Wylie ISD (221912)",6
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Abilene ISD (221901)",10
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Axtell ISD (161918)",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Baird ISD (030903)",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Clyde CISD (030902)",34
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Hawley ISD (127904)",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Jim Ned CISD (221911)",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",-9999999
"2016-2017",14,"Region XIV Abilene","Eula ISD (030906)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

