"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Aldine ISD (101902)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Alvin ISD (020901)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Arlington ISD (220901)",12
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Bryan ISD (021902)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Carrollton-Farmers Branch ISD (057903)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Cedar Hill ISD (057904)",54
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Dallas ISD (057905)",106
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Duncanville ISD (057907)",36
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Eagle Mt-Saginaw ISD (220918)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Ferris ISD (070905)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Forney ISD (129902)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Grand Prairie ISD (057910)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Highland Park ISD (057911)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Houston ISD (101912)",-9999999
"2014-15",10,"Region X Richardson","Desoto ISD (057906)",100,"Transfers In From",100,"Irving ISD (057912)",-9999999
