"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",100,"Beaumont ISD (123910)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",100,"Birdville ISD (220902)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",100,"Bridge City ISD (181901)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",100,"Hamshire-Fannett ISD (123914)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",100,"Port Arthur ISD (123907)",18
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",100,"Port Neches-Groves ISD (123908)",11
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",100,"West Orange-Cove CISD (181906)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",200,"","."
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",200,"Total Transfers In",39
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",100,"Transfers In From",300,"","."
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Austin ISD (227901)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Beaumont ISD (123910)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Bob Hope School (123807)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Bridge City ISD (181901)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Center Point ISD (133901)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Ehrhart School (123805)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Hamshire-Fannett ISD (123914)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Harmony Science Academy (101846)",26
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Little Cypress-Mauriceville CISD (181908)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Port Arthur ISD (123907)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Port Neches-Groves ISD (123908)",10
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Premier High Schools (072801)",13
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Sabine Pass ISD (123913)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Southwest School (101838)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Tekoa Academy Of Accelerated Studi (123803)",6
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Vernon ISD (244903)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Victoria ISD (235902)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",100,"Vidor ISD (181907)",-9999999
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",200,"","."
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",200,"Total Transfers Out",78
"2011-12",05,"Region V Beaumont","Nederland ISD (123905)",200,"Transfers Out To",300,"","."

