T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfers Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","REPORT_DISTNAME_NUMBER_PROPCASE","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND_PROP","TRANSFERS_IN_OUT"
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Austin ISD (227901)",153
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Bastrop ISD (011901)",13
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Cayuga ISD (001902)",-999
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Coahoma ISD (114902)",-999
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Coupland ISD (246914)",-999
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Del Valle ISD (227910)",75
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Elgin ISD (011902)",94
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Georgetown ISD (246904)",-999
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Hays CISD (105906)",-999
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Hutto ISD (246906)",10
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Killeen ISD (014906)",-999
"2019-2020",13,"Region XIII Austin","Manor ISD (227907)","Traditional ISD/CSD",100,"Transfers In From",100,"Leander ISD (246913)",-999
