T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",100,"BOERNE ISD  -  130901",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",100,"COMAL ISD  -  046902",34
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",100,"FREDERICKSBURG ISD  -  086901",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",100,"JOHNSON CITY ISD  -  016901",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",100,"NORTH EAST ISD  -  015910",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",44
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"BOERNE ISD  -  130901",13
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"COMAL ISD  -  046902",14
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"DRIPPING SPRINGS ISD  -  105904",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"FREDERICKSBURG ISD  -  086901",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"GREAT HEARTS TEXAS  -  015835",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"HALLSVILLE ISD  -  102904",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"HAYS CISD  -  105906",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"JOHNSON CITY ISD  -  016901",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"JUBILEE ACADEMIES  -  015822",11
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"KATHERINE ANNE PORTER SCHOOL  -  105801",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"SCHOOL OF SCIENCE AND TECHNOLOGY  -  015827",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY  -  015831",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"TEXAS COLLEGE PREPARATORY ACADEMIES  -  221801",-999
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",100,"WIMBERLEY ISD  -  105905",30
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",97
"2022-2023",13,"REGION XIII AUSTIN","BLANCO ISD  -  016902","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

 -999 indicates counts or percentages are not available (i.e. masked) to comply with the Family Educational Rights and Privacy Act (FERPA).

Masked numbers are typically small although larger numbers may be masked to prevent imputation.

The REPORT_NUMBER column and the LINE_GROUP_NUMBER column are added to assist sorting and filtering of rows in the file.

