"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",18,"Region XVIII Midland","Marfa ISD (189901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Presidio ISD (189902)",20
"2017-2018",18,"Region XVIII Midland","Marfa ISD (189901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Valentine ISD (122902)",-999
"2017-2018",18,"Region XVIII Midland","Marfa ISD (189901)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",18,"Region XVIII Midland","Marfa ISD (189901)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",-999
"2017-2018",18,"Region XVIII Midland","Marfa ISD (189901)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

