"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Beckville ISD (183901)",18
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Elysian Fields ISD (102906)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Gary ISD (183904)",21
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Henderson ISD (201902)",10
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Longview ISD (092903)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Marshall ISD (102902)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Mount Enterprise ISD (201907)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Tatum ISD (201910)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Tenaha ISD (210904)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",100,"Timpson ISD (210905)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",70
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Beckville ISD (183901)",95
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Center ISD (210901)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Garrison ISD (174903)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Gary ISD (183904)",110
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Henderson ISD (201902)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Joaquin ISD (210902)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Longview ISD (092903)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Mount Enterprise ISD (201907)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Panola Charter School (183801)",34
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Tatum ISD (201910)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Tenaha ISD (210904)",12
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Timpson ISD (210905)",-999
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",280
"2017-2018",07,"Region VII Kilgore","Carthage ISD (183902)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

