"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Boerne ISD (130901)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Duncanville ISD (057907)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"East Central ISD (015911)",6
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Edgewood ISD (015905)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"El Paso ISD (071902)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Floresville ISD (247901)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Fort Bend ISD (079907)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Gregory-Portland ISD (205902)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Harlandale ISD (015904)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Judson ISD (015916)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Killeen ISD (014906)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Klein ISD (101915)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"New Caney ISD (170908)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Northside ISD (015915)",6
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Plainview ISD (095905)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Pleasanton ISD (007905)",5
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"San Antonio ISD (015907)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Seguin ISD (094901)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Somerset ISD (015909)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"South San Antonio ISD (015908)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Southwest ISD (015912)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"Spring ISD (101919)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",100,"West Orange-Cove CISD (181906)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",200,,"."
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",200,"Total Transfers In",43
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",100,"Transfers In From",300,,"."
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Academy Of Careers And Technologie (015816)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Alamo Heights ISD (015901)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Axtell ISD (161918)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Brooks Academy Of Science And Engi (015830)",155
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Carpe Diem Schools (015837)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"East Central ISD (015911)",8
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Edgewood ISD (015905)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"George Gervin Academy (015802)",19
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Great Hearts Texas (015835)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Harlandale ISD (015904)",59
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Harmony Science Acad (San Antonio) (015828)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Harmony Science Acad (Waco) (161807)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Henry Ford Academy Alameda School (015833)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Idea Public Schools (108807)",79
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Jourdanton ISD (007902)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Jubilee Academic Center (015822)",34
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Kipp San Antonio (015826)",5
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"La Vernia ISD (247903)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"New Frontiers Charter School (015805)",11
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"North East ISD (015910)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Northside ISD (015915)",-9999999
"2015-16",20,"Region XX San Antonio","Southside ISD (015917)",200,"Transfers Out To",100,"Pleasanton ISD (007905)",10
