"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Cleburne ISD (126903)",6
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Dublin ISD (072902)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Eagle Mt-Saginaw ISD (220918)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Fort Worth ISD (220905)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Glen Rose ISD (213901)",7
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Godley ISD (126911)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Hutto ISD (246906)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Joshua ISD (126905)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Lipan ISD (111902)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Springtown ISD (184902)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Three Way ISD (072901)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Tolar ISD (111903)",16
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",100,"Weatherford ISD (184903)",16
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",200,"","."
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",200,"Total Transfers In",58
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",100,"Transfers In From",300,"","."
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Arlington ISD (220901)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Austin ISD (227901)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Bluff Dale ISD (072904)",5
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Brazos River Charter School (213801)",15
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Brock ISD (184909)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Burleson ISD (126902)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Cleburne ISD (126903)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Covington ISD (109903)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Dallas ISD (057905)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"De Leon ISD (047902)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Dublin ISD (072902)",-9999999
"2012-13",11,"Region XI Fort Worth","Granbury ISD (111901)",200,"Transfers Out To",100,"Eagle Mt-Saginaw ISD (220918)",-9999999
