"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",100,"Chisum ISD (139905)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",100,"Cooper ISD (060902)",12
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",100,"Greenville ISD (116905)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",100,"Saltillo ISD (112909)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",100,"Sulphur Bluff ISD (112910)",12
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",100,"Sulphur Springs ISD (112901)",59
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Cooper ISD (060902)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Cumby ISD (112905)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Marshall ISD (102902)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Paris ISD (139909)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Saltillo ISD (112909)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Sulphur Bluff ISD (112910)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",100,"Sulphur Springs ISD (112901)",-999
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",23
"2017-2018",08,"Region VIII Mt Pleasant","North Hopkins ISD (112906)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

