"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Elgin ISD (011902)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Granger ISD (246905)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Hutto ISD (246906)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Lexington ISD (144902)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Milano ISD (166903)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Pflugerville ISD (227904)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Rockdale ISD (166904)",41
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Round Rock ISD (246909)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Taylor ISD (246911)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",100,"Thrall ISD (246912)",23
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",200,"","."
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",200,"Total Transfers In",85
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",100,"Transfers In From",300,"","."
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",100,"Granger ISD (246905)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",100,"Hutto ISD (246906)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",100,"Lexington ISD (144902)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",100,"Rockdale ISD (166904)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",100,"Taylor ISD (246911)",-9999999
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",100,"Thrall ISD (246912)",7
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",200,"","."
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",200,"Total Transfers Out",14
"2013-14",13,"Region XIII Austin","Thorndale ISD (166905)",200,"Transfers Out To",300,"","."

