"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",100,"Arp ISD (212901)",10
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",100,"Bullard ISD (212902)",8
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",100,"Chapel Hill ISD (212909)",9
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",100,"Jacksonville ISD (037904)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",100,"Lindale ISD (212903)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",100,"Troup ISD (212904)",5
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",100,"Tyler ISD (212905)",50
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",200,"","."
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",100,"Transfers In From",300,"","."
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Arlington ISD (220901)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Arp ISD (212901)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Brownsboro ISD (107902)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Bullard ISD (212902)",14
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Chapel Hill ISD (212909)",9
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Cumberland Academy (212801)",90
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Greenville ISD (116905)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Hawkins ISD (250902)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Jacksonville ISD (037904)",5
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"John H Wood Jr Public Charter Dist (015808)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Neches ISD (001906)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Sabine ISD (092906)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Sharyland ISD (108911)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Troup ISD (212904)",44
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Tyler ISD (212905)",46
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",100,"Van ISD (234906)",-9999999
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",200,"","."
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",200,"Total Transfers Out",233
"2011-12",07,"Region VII Kilgore","Whitehouse ISD (212906)",200,"Transfers Out To",300,"","."

