T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Bangs ISD (025901)",90
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Blanket ISD (025904)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Brady ISD (160901)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Brookesmith ISD (025908)",38
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Coleman ISD (042901)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Comanche ISD (047901)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Cross Plains ISD (030901)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Early ISD (025909)",82
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Goldthwaite ISD (167901)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"May ISD (025905)",14
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Richland Springs ISD (206902)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Rising Star ISD (067908)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Rochelle ISD (160904)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Santa Anna ISD (042903)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",100,"Zephyr ISD (025906)",-999
"2020-2021",15,"Region XV San Angelo","Brownwood ISD (025902)","Traditional ISD/CSD",100,"Transfers In From",200,,
