Time;Source;Event
2021-07-01 00:08:43;fridge operation;START
2021-07-01 00:08:43;REFRIGERATOR;ON
2021-07-01 00:22:25;REFRIGERATOR;OFF
2021-07-01 00:22:25;fridge operation;END
2021-07-01 00:58:32;fridge operation;START
2021-07-01 00:58:32;REFRIGERATOR;ON
2021-07-01 01:12:14;REFRIGERATOR;OFF
2021-07-01 01:12:14;fridge operation;END
2021-07-01 01:43:42;fridge operation;START
2021-07-01 01:43:42;REFRIGERATOR;ON
2021-07-01 01:57:24;REFRIGERATOR;OFF
2021-07-01 01:57:24;fridge operation;END
2021-07-01 02:23:27;fridge operation;START
2021-07-01 02:23:27;REFRIGERATOR;ON
2021-07-01 02:37:09;REFRIGERATOR;OFF
2021-07-01 02:37:09;fridge operation;END
2021-07-01 03:02:11;fridge operation;START
2021-07-01 03:02:11;REFRIGERATOR;ON
2021-07-01 03:15:53;REFRIGERATOR;OFF
2021-07-01 03:15:53;fridge operation;END
2021-07-01 03:47:21;fridge operation;START
2021-07-01 03:47:21;REFRIGERATOR;ON
2021-07-01 04:01:03;REFRIGERATOR;OFF
2021-07-01 04:01:03;fridge operation;END
2021-07-01 04:37:26;fridge operation;START
2021-07-01 04:37:26;REFRIGERATOR;ON
2021-07-01 04:51:08;REFRIGERATOR;OFF
2021-07-01 04:51:08;fridge operation;END
2021-07-01 06:10:50;fridge operation;START
2021-07-01 06:10:50;REFRIGERATOR;ON
2021-07-01 06:24:32;REFRIGERATOR;OFF
2021-07-01 06:24:32;fridge operation;END
2021-07-01 06:54:38;fridge operation;START
2021-07-01 06:54:38;REFRIGERATOR;ON
2021-07-01 07:08:20;REFRIGERATOR;OFF
2021-07-01 07:08:20;fridge operation;END
2021-07-01 07:50:21;fridge operation;START
2021-07-01 07:50:21;REFRIGERATOR;ON
2021-07-01 08:04:03;REFRIGERATOR;OFF
2021-07-01 08:04:03;fridge operation;END
2021-07-01 08:33:23;fridge operation;START
2021-07-01 08:33:23;REFRIGERATOR;ON
2021-07-01 08:47:05;REFRIGERATOR;OFF
2021-07-01 08:47:05;fridge operation;END
2021-07-01 09:15:11;fridge operation;START
2021-07-01 09:15:11;REFRIGERATOR;ON
2021-07-01 09:28:53;REFRIGERATOR;OFF
2021-07-01 09:28:53;fridge operation;END
2021-07-01 10:13:04;fridge operation;START
2021-07-01 10:13:04;REFRIGERATOR;ON
2021-07-01 10:26:46;REFRIGERATOR;OFF
2021-07-01 10:26:46;fridge operation;END
2021-07-01 10:54:54;fridge operation;START
2021-07-01 10:54:54;REFRIGERATOR;ON
2021-07-01 11:08:36;REFRIGERATOR;OFF
2021-07-01 11:08:36;fridge operation;END
2021-07-01 12:02:22;fridge operation;START
2021-07-01 12:02:22;REFRIGERATOR;ON
2021-07-01 12:16:04;REFRIGERATOR;OFF
2021-07-01 12:16:04;fridge operation;END
2021-07-01 13:42:38;fridge operation;START
2021-07-01 13:42:38;REFRIGERATOR;ON
2021-07-01 13:56:20;REFRIGERATOR;OFF
2021-07-01 13:56:20;fridge operation;END
2021-07-01 14:48:56;fridge operation;START
2021-07-01 14:48:56;REFRIGERATOR;ON
2021-07-01 15:02:38;REFRIGERATOR;OFF
2021-07-01 15:02:38;fridge operation;END
2021-07-01 15:41:40;fridge operation;START
2021-07-01 15:41:40;REFRIGERATOR;ON
2021-07-01 15:55:22;REFRIGERATOR;OFF
2021-07-01 15:55:22;fridge operation;END
2021-07-01 16:54:26;vacuuming;START
2021-07-01 16:54:26;VACUUMCLEANER;ON
2021-07-01 17:03:47;fridge operation;START
2021-07-01 17:03:47;REFRIGERATOR;ON
2021-07-01 17:05:56;vacuuming;START
2021-07-01 17:05:56;VACUUMCLEANER;ON
2021-07-01 17:06:26;VACUUMCLEANER;OFF
2021-07-01 17:06:26;vacuuming;END
2021-07-01 17:10:22;watching TV;START
2021-07-01 17:10:22;TV;ON
2021-07-01 17:17:29;REFRIGERATOR;OFF
2021-07-01 17:17:29;fridge operation;END
2021-07-01 17:17:56;VACUUMCLEANER;OFF
2021-07-01 17:17:56;vacuuming;END
2021-07-01 17:45:34;TV;OFF
2021-07-01 17:45:35;TV;ON
2021-07-01 18:09:32;TV;OFF
2021-07-01 18:09:32;watching TV;END
2021-07-01 18:10:02;dishwasher operation;START
2021-07-01 18:10:08;DISHWASHER;ON
2021-07-01 18:32:05;watching TV;START
2021-07-01 18:32:05;TV;ON
2021-07-01 18:32:50;fridge operation;START
2021-07-01 18:32:50;REFRIGERATOR;ON
2021-07-01 18:37:15;use a personal computer;START
2021-07-01 18:37:15;PC;ON
2021-07-01 18:46:32;REFRIGERATOR;OFF
2021-07-01 18:46:32;fridge operation;END
2021-07-01 19:17:24;DISHWASHER;OFF
2021-07-01 19:17:24;dishwasher operation;END
2021-07-01 19:40:44;fridge operation;START
2021-07-01 19:40:44;REFRIGERATOR;ON
2021-07-01 19:52:34;PC;OFF
2021-07-01 19:52:34;use a personal computer;END
2021-07-01 19:52:35;use a personal computer;START
2021-07-01 19:52:35;PC;ON
2021-07-01 19:54:26;REFRIGERATOR;OFF
2021-07-01 19:54:26;fridge operation;END
2021-07-01 20:22:38;TV;OFF
2021-07-01 20:22:39;TV;ON
2021-07-01 20:49:00;TV;OFF
2021-07-01 20:49:00;watching TV;END
2021-07-01 20:49:01;dishwasher operation;START
2021-07-01 20:49:10;use a personal computer;START
2021-07-01 20:49:10;DISHWASHER;ON
2021-07-01 20:49:10;PC;ON
2021-07-01 20:49:32;fridge operation;START
2021-07-01 20:49:32;REFRIGERATOR;ON
2021-07-01 21:03:14;REFRIGERATOR;OFF
2021-07-01 21:03:14;fridge operation;END
2021-07-01 21:07:54;PC;OFF
2021-07-01 21:07:54;use a personal computer;END
2021-07-01 21:47:10;watching TV;START
2021-07-01 21:47:10;TV;ON
2021-07-01 21:50:37;fridge operation;START
2021-07-01 21:50:37;REFRIGERATOR;ON
2021-07-01 21:56:26;DISHWASHER;OFF
2021-07-01 21:56:26;dishwasher operation;END
2021-07-01 22:04:19;REFRIGERATOR;OFF
2021-07-01 22:04:19;fridge operation;END
2021-07-01 22:04:29;PC;OFF
2021-07-01 22:04:29;use a personal computer;END
2021-07-01 22:07:48;watching TV;START
2021-07-01 22:07:48;TV;ON
2021-07-01 22:30:19;TV;OFF
2021-07-01 22:30:20;TV;ON
2021-07-01 22:54:26;fridge operation;START
2021-07-01 22:54:26;REFRIGERATOR;ON
2021-07-01 22:59:02;TV;OFF
2021-07-01 22:59:02;watching TV;END
2021-07-01 23:08:08;REFRIGERATOR;OFF
2021-07-01 23:08:08;fridge operation;END
2021-07-01 23:13:02;TV;OFF
2021-07-01 23:13:02;watching TV;END
2021-07-02 00:26:40;fridge operation;START
2021-07-02 00:26:40;REFRIGERATOR;ON
2021-07-02 00:40:22;REFRIGERATOR;OFF
2021-07-02 00:40:22;fridge operation;END
2021-07-02 01:25:07;fridge operation;START
2021-07-02 01:25:07;REFRIGERATOR;ON
2021-07-02 01:38:49;REFRIGERATOR;OFF
2021-07-02 01:38:49;fridge operation;END
2021-07-02 02:09:06;fridge operation;START
2021-07-02 02:09:06;REFRIGERATOR;ON
2021-07-02 02:22:48;REFRIGERATOR;OFF
2021-07-02 02:22:48;fridge operation;END
2021-07-02 03:19:04;fridge operation;START
2021-07-02 03:19:04;REFRIGERATOR;ON
2021-07-02 03:32:46;REFRIGERATOR;OFF
2021-07-02 03:32:46;fridge operation;END
2021-07-02 04:42:11;fridge operation;START
2021-07-02 04:42:11;REFRIGERATOR;ON
2021-07-02 04:55:53;REFRIGERATOR;OFF
2021-07-02 04:55:53;fridge operation;END
2021-07-02 06:05:43;fridge operation;START
2021-07-02 06:05:43;REFRIGERATOR;ON
2021-07-02 06:19:25;REFRIGERATOR;OFF
2021-07-02 06:19:25;fridge operation;END
2021-07-02 07:05:10;fridge operation;START
2021-07-02 07:05:10;REFRIGERATOR;ON
2021-07-02 07:18:52;REFRIGERATOR;OFF
2021-07-02 07:18:52;fridge operation;END
2021-07-02 08:37:02;fridge operation;START
2021-07-02 08:37:02;REFRIGERATOR;ON
2021-07-02 08:50:44;REFRIGERATOR;OFF
2021-07-02 08:50:44;fridge operation;END
2021-07-02 09:34:46;fridge operation;START
2021-07-02 09:34:46;REFRIGERATOR;ON
2021-07-02 09:48:28;REFRIGERATOR;OFF
2021-07-02 09:48:28;fridge operation;END
2021-07-02 10:35:26;fridge operation;START
2021-07-02 10:35:26;REFRIGERATOR;ON
2021-07-02 10:49:08;REFRIGERATOR;OFF
2021-07-02 10:49:08;fridge operation;END
2021-07-02 11:59:48;fridge operation;START
2021-07-02 11:59:48;REFRIGERATOR;ON
2021-07-02 12:13:30;REFRIGERATOR;OFF
2021-07-02 12:13:30;fridge operation;END
2021-07-02 12:58:13;fridge operation;START
2021-07-02 12:58:13;REFRIGERATOR;ON
2021-07-02 13:11:55;REFRIGERATOR;OFF
2021-07-02 13:11:55;fridge operation;END
2021-07-02 13:44:48;fridge operation;START
2021-07-02 13:44:48;REFRIGERATOR;ON
2021-07-02 13:58:30;REFRIGERATOR;OFF
2021-07-02 13:58:30;fridge operation;END
2021-07-02 14:50:00;vacuuming;START
2021-07-02 14:50:00;VACUUMCLEANER;ON
2021-07-02 15:02:00;VACUUMCLEANER;OFF
2021-07-02 15:02:00;vacuuming;END
2021-07-02 15:04:32;fridge operation;START
2021-07-02 15:04:32;REFRIGERATOR;ON
2021-07-02 15:18:14;REFRIGERATOR;OFF
2021-07-02 15:18:14;fridge operation;END
2021-07-02 15:53:01;fridge operation;START
2021-07-02 15:53:01;REFRIGERATOR;ON
2021-07-02 16:06:43;REFRIGERATOR;OFF
2021-07-02 16:06:43;fridge operation;END
2021-07-02 17:17:40;fridge operation;START
2021-07-02 17:17:40;REFRIGERATOR;ON
2021-07-02 17:25:50;watching TV;START
2021-07-02 17:25:50;TV;ON
2021-07-02 17:31:22;REFRIGERATOR;OFF
2021-07-02 17:31:22;fridge operation;END
2021-07-02 18:35:29;fridge operation;START
2021-07-02 18:35:29;REFRIGERATOR;ON
2021-07-02 18:38:33;dishwasher operation;START
2021-07-02 18:38:42;DISHWASHER;ON
2021-07-02 18:44:44;watching TV;START
2021-07-02 18:44:44;TV;ON
2021-07-02 18:49:11;REFRIGERATOR;OFF
2021-07-02 18:49:11;fridge operation;END
2021-07-02 19:17:20;TV;OFF
2021-07-02 19:17:21;TV;ON
2021-07-02 19:18:13;TV;OFF
2021-07-02 19:18:14;TV;ON
2021-07-02 19:40:34;TV;OFF
2021-07-02 19:40:34;watching TV;END
2021-07-02 19:44:16;TV;OFF
2021-07-02 19:44:16;watching TV;END
2021-07-02 19:45:58;DISHWASHER;OFF
2021-07-02 19:45:58;dishwasher operation;END
2021-07-02 20:09:06;dishwasher operation;START
2021-07-02 20:09:14;DISHWASHER;ON
2021-07-02 20:23:49;fridge operation;START
2021-07-02 20:23:49;REFRIGERATOR;ON
2021-07-02 20:31:29;use a personal computer;START
2021-07-02 20:31:29;PC;ON
2021-07-02 20:37:31;REFRIGERATOR;OFF
2021-07-02 20:37:31;fridge operation;END
2021-07-02 20:49:57;watching TV;START
2021-07-02 20:49:57;TV;ON
2021-07-02 21:16:30;DISHWASHER;OFF
2021-07-02 21:16:30;dishwasher operation;END
2021-07-02 21:46:33;fridge operation;START
2021-07-02 21:46:33;REFRIGERATOR;ON
2021-07-02 21:46:48;PC;OFF
2021-07-02 21:46:48;use a personal computer;END
2021-07-02 22:00:15;REFRIGERATOR;OFF
2021-07-02 22:00:15;fridge operation;END
2021-07-02 22:10:38;TV;OFF
2021-07-02 22:10:39;TV;ON
2021-07-02 22:25:53;fridge operation;START
2021-07-02 22:25:53;REFRIGERATOR;ON
2021-07-02 22:34:20;watching TV;START
2021-07-02 22:34:20;TV;ON
2021-07-02 22:34:34;TV;OFF
2021-07-02 22:34:34;watching TV;END
2021-07-02 22:39:35;REFRIGERATOR;OFF
2021-07-02 22:39:35;fridge operation;END
2021-07-02 23:23:37;TV;OFF
2021-07-02 23:23:37;watching TV;END
2021-07-03 00:00:00;fridge operation;START
2021-07-03 00:00:00;REFRIGERATOR;ON
2021-07-03 00:13:42;REFRIGERATOR;OFF
2021-07-03 00:13:42;fridge operation;END
2021-07-03 00:30:28;fridge operation;START
