Time;Source;Event
2021-07-01 00:02:53;fridge operation;START
2021-07-01 00:02:53;REFRIGERATOR;ON
2021-07-01 00:16:53;REFRIGERATOR;OFF
2021-07-01 00:16:53;fridge operation;END
2021-07-01 00:59:48;fridge operation;START
2021-07-01 00:59:48;REFRIGERATOR;ON
2021-07-01 01:13:48;REFRIGERATOR;OFF
2021-07-01 01:13:48;fridge operation;END
2021-07-01 02:17:04;fridge operation;START
2021-07-01 02:17:04;REFRIGERATOR;ON
2021-07-01 02:31:04;REFRIGERATOR;OFF
2021-07-01 02:31:04;fridge operation;END
2021-07-01 03:02:07;fridge operation;START
2021-07-01 03:02:07;REFRIGERATOR;ON
2021-07-01 03:16:07;REFRIGERATOR;OFF
2021-07-01 03:16:07;fridge operation;END
2021-07-01 04:06:15;fridge operation;START
2021-07-01 04:06:15;REFRIGERATOR;ON
2021-07-01 04:20:15;REFRIGERATOR;OFF
2021-07-01 04:20:15;fridge operation;END
2021-07-01 05:03:01;fridge operation;START
2021-07-01 05:03:01;REFRIGERATOR;ON
2021-07-01 05:17:01;REFRIGERATOR;OFF
2021-07-01 05:17:01;fridge operation;END
2021-07-01 05:51:52;fridge operation;START
2021-07-01 05:51:52;REFRIGERATOR;ON
2021-07-01 06:05:52;REFRIGERATOR;OFF
2021-07-01 06:05:52;fridge operation;END
2021-07-01 06:59:54;fridge operation;START
2021-07-01 06:59:54;REFRIGERATOR;ON
2021-07-01 07:13:54;REFRIGERATOR;OFF
2021-07-01 07:13:54;fridge operation;END
2021-07-01 07:56:01;fridge operation;START
2021-07-01 07:56:01;REFRIGERATOR;ON
2021-07-01 08:10:01;REFRIGERATOR;OFF
2021-07-01 08:10:01;fridge operation;END
2021-07-01 08:53:48;fridge operation;START
2021-07-01 08:53:48;REFRIGERATOR;ON
2021-07-01 09:07:48;REFRIGERATOR;OFF
2021-07-01 09:07:48;fridge operation;END
2021-07-01 09:48:25;fridge operation;START
2021-07-01 09:48:25;REFRIGERATOR;ON
2021-07-01 10:02:25;REFRIGERATOR;OFF
2021-07-01 10:02:25;fridge operation;END
2021-07-01 10:36:29;fridge operation;START
2021-07-01 10:36:29;REFRIGERATOR;ON
2021-07-01 10:50:29;REFRIGERATOR;OFF
2021-07-01 10:50:29;fridge operation;END
2021-07-01 11:53:55;fridge operation;START
2021-07-01 11:53:55;REFRIGERATOR;ON
2021-07-01 12:07:55;REFRIGERATOR;OFF
2021-07-01 12:07:55;fridge operation;END
2021-07-01 13:16:17;fridge operation;START
2021-07-01 13:16:17;REFRIGERATOR;ON
2021-07-01 13:30:17;REFRIGERATOR;OFF
2021-07-01 13:30:17;fridge operation;END
2021-07-01 13:54:27;fridge operation;START
2021-07-01 13:54:27;REFRIGERATOR;ON
2021-07-01 14:08:27;REFRIGERATOR;OFF
2021-07-01 14:08:27;fridge operation;END
2021-07-01 14:32:50;use a personal computer;START
2021-07-01 14:32:50;PC;ON
2021-07-01 14:43:44;fridge operation;START
2021-07-01 14:43:44;REFRIGERATOR;ON
2021-07-01 14:57:44;REFRIGERATOR;OFF
2021-07-01 14:57:44;fridge operation;END
2021-07-01 15:04:15;PC;OFF
2021-07-01 15:04:15;use a personal computer;END
2021-07-01 15:47:09;use a personal computer;START
2021-07-01 15:47:09;PC;ON
2021-07-01 16:00:24;watching TV;START
2021-07-01 16:00:24;TV;ON
2021-07-01 16:18:34;PC;OFF
2021-07-01 16:18:34;use a personal computer;END
2021-07-01 16:21:43;watching TV;START
2021-07-01 16:21:43;TV;ON
2021-07-01 16:23:13;fridge operation;START
2021-07-01 16:23:13;REFRIGERATOR;ON
2021-07-01 16:37:13;REFRIGERATOR;OFF
2021-07-01 16:37:13;fridge operation;END
2021-07-01 16:44:07;TV;OFF
2021-07-01 16:44:08;TV;ON
2021-07-01 16:59:34;TV;OFF
2021-07-01 16:59:34;watching TV;END
2021-07-01 16:59:43;fridge operation;START
2021-07-01 16:59:43;REFRIGERATOR;ON
2021-07-01 17:13:43;REFRIGERATOR;OFF
2021-07-01 17:13:43;fridge operation;END
2021-07-01 17:35:02;fridge operation;START
2021-07-01 17:35:02;REFRIGERATOR;ON
2021-07-01 17:49:02;REFRIGERATOR;OFF
2021-07-01 17:49:02;fridge operation;END
2021-07-01 17:52:13;TV;OFF
2021-07-01 17:52:14;TV;ON
2021-07-01 18:14:47;TV;OFF
2021-07-01 18:14:47;watching TV;END
2021-07-01 18:15:32;dishwasher operation;START
2021-07-01 18:15:39;DISHWASHER;ON
2021-07-01 18:30:25;dishwasher operation;START
2021-07-01 18:30:35;DISHWASHER;ON
2021-07-01 19:00:52;fridge operation;START
2021-07-01 19:00:52;REFRIGERATOR;ON
2021-07-01 19:06:54;use a personal computer;START
2021-07-01 19:06:54;PC;ON
2021-07-01 19:14:52;REFRIGERATOR;OFF
2021-07-01 19:14:52;fridge operation;END
2021-07-01 19:22:55;DISHWASHER;OFF
2021-07-01 19:22:55;dishwasher operation;END
2021-07-01 19:36:45;watching TV;START
2021-07-01 19:36:45;TV;ON
2021-07-01 19:37:51;DISHWASHER;OFF
2021-07-01 19:37:51;dishwasher operation;END
2021-07-01 19:38:19;PC;OFF
2021-07-01 19:38:19;use a personal computer;END
2021-07-01 20:12:20;TV;OFF
2021-07-01 20:12:21;TV;ON
2021-07-01 20:13:31;fridge operation;START
2021-07-01 20:13:31;REFRIGERATOR;ON
2021-07-01 20:23:22;watching TV;START
2021-07-01 20:23:22;TV;ON
2021-07-01 20:27:31;REFRIGERATOR;OFF
2021-07-01 20:27:31;fridge operation;END
2021-07-01 20:30:42;TV;OFF
2021-07-01 20:30:42;watching TV;END
2021-07-01 20:31:14;use a personal computer;START
2021-07-01 20:31:14;PC;ON
2021-07-01 20:45:41;fridge operation;START
2021-07-01 20:45:41;REFRIGERATOR;ON
2021-07-01 20:59:41;REFRIGERATOR;OFF
2021-07-01 20:59:41;fridge operation;END
2021-07-01 21:02:39;PC;OFF
2021-07-01 21:02:39;use a personal computer;END
2021-07-01 21:32:12;fridge operation;START
2021-07-01 21:32:12;REFRIGERATOR;ON
2021-07-01 21:46:12;REFRIGERATOR;OFF
2021-07-01 21:46:12;fridge operation;END
2021-07-01 22:05:32;TV;OFF
2021-07-01 22:05:33;TV;ON
2021-07-01 22:20:14;fridge operation;START
2021-07-01 22:20:14;REFRIGERATOR;ON
2021-07-01 22:31:04;TV;OFF
