date                  facility       log content
------------------------------------------------------------------------
2022/01/01 06:13:53   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:12:56   WIRELESS      wl1 (2.4GHz): Detect interference(51per) [with Non-802.11] on channel 4.
2022/01/01 06:12:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:11:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:10:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:09:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:09:30   WIRELESS      wl1 (2.4GHz): Detect interference(54per) [with Non-802.11] on channel 4.
2022/01/01 06:08:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:07:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:06:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:05:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:05:25   WIRELESS      wl1 (2.4GHz): Detect interference(52per) [with Non-802.11] on channel 4.
2022/01/01 06:04:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:04:23   ADT           Accept regist Error!!
2022/01/01 06:04:23   ADT           Subscribe callback(accept_regist)
2022/01/01 06:04:22   ADT           publish: request_regist
2022/01/01 06:04:21   ADT           Subscribing(unpaired)...
2022/01/01 06:03:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:02:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:02:31   WIRELESS      wl0.1 (5GHz): Encryption Key Renewing
2022/01/01 06:02:30   WIRELESS      wl0.0 (5GHz): Encryption Key Renewing
2022/01/01 06:01:52   NTP           NTPserver not response : 172.20.110.18
2022/01/01 06:01:28   WIRELESS      wl1.0 (2.4GHz): Encryption Key Renewing
2022/01/01 06:01:22   WIRELESS      wl1 (2.4GHz): Start sending beacon
2022/01/01 06:01:21   WIRELESS      wl1 (2.4GHz): Switch Channel 4 / 20 MHz
2022/01/01 06:01:21   WIRELESS      wl1 (2.4GHz): AutoChannel selected Channel 4 / 20 MHz
2022/01/01 06:01:21   WIRELESS      wl1 (2.4GHz): Detect interference(71per) [with Non-802.11] on channel 13.
2022/01/01 06:01:21   WIRELESS      wl1 (2.4GHz): Detect interference(55per) on channel 10.
