SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SECTION 504,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2021-2022,57816,A W BROWN LEADERSHIP ACADEMY,10,OPEN ENROLLMENT CHARTER,1067,170,0,52,916,-999,-999,-999,0,0,0,-999,58,1067
STATE,DISTRICT,2021-2022,57829,A+ ACADEMY,10,OPEN ENROLLMENT CHARTER,1551,1051,68,57,1438,793,198,-999,69,-999,-999,29,147,1551
STATE,DISTRICT,2021-2022,101871,A+ UNLIMITED POTENTIAL,4,OPEN ENROLLMENT CHARTER,145,99,0,10,109,17,17,0,0,-999,0,-999,37,145
STATE,DISTRICT,2021-2022,109901,ABBOTT ISD,12,TRADITIONAL ISD/CSD,283,86,0,20,70,-999,-999,0,13,0,-999,21,38,283
STATE,DISTRICT,2021-2022,95901,ABERNATHY ISD,17,TRADITIONAL ISD/CSD,825,279,0,57,425,15,15,0,118,-999,14,77,76,824
STATE,DISTRICT,2021-2022,221901,ABILENE ISD,14,TRADITIONAL ISD/CSD,15426,9257,185,414,9962,830,612,171,1277,638,1132,728,2308,6068
STATE,DISTRICT,2021-2022,57814,ACADEMY FOR ACADEMIC EXCELLENCE,10,OPEN ENROLLMENT CHARTER,297,297,0,-999,297,51,50,11,0,-999,0,16,83,297
STATE,DISTRICT,2021-2022,14901,ACADEMY ISD,12,TRADITIONAL ISD/CSD,1759,690,0,79,637,104,83,-999,127,19,182,189,194,1759
STATE,DISTRICT,2021-2022,101810,ACADEMY OF ACCELERATED LEARNING INC,4,OPEN ENROLLMENT CHARTER,<10,-999,-999,0,-999,-999,-999,0,0,0,0,0,0,-999
STATE,DISTRICT,2021-2022,57810,ACADEMY OF DALLAS,10,OPEN ENROLLMENT CHARTER,245,209,0,-999,243,22,20,0,0,0,-999,-999,-999,245
