SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SECTION 504,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2022-2023,49905,CALLISBURG ISD,11,TRADITIONAL ISD/CSD,1166,301,0,107,519,50,44,-999,53,-999,13,99,207,1166
STATE,DISTRICT,2022-2023,198902,CALVERT ISD,6,TRADITIONAL ISD/CSD,134,20,0,-999,123,-999,-999,0,-999,0,0,-999,21,134
STATE,DISTRICT,2022-2023,101837,CALVIN NELMS CHARTER SCHOOLS,4,OPEN ENROLLMENT CHARTER,313,121,0,12,131,44,36,0,0,0,21,15,33,0
STATE,DISTRICT,2022-2023,166901,CAMERON ISD,6,TRADITIONAL ISD/CSD,1554,857,0,107,1158,212,207,-999,160,-999,58,188,147,1553
STATE,DISTRICT,2022-2023,116910,CAMPBELL ISD,10,TRADITIONAL ISD/CSD,295,95,0,15,198,45,42,0,-999,0,19,21,65,146
STATE,DISTRICT,2022-2023,106901,CANADIAN ISD,16,TRADITIONAL ISD/CSD,829,310,0,95,371,119,105,-999,48,0,-999,106,92,532
STATE,DISTRICT,2022-2023,234902,CANTON ISD,10,TRADITIONAL ISD/CSD,2303,666,0,198,1102,104,100,-999,118,25,128,218,258,1649
STATE,DISTRICT,2022-2023,71907,CANUTILLO ISD,19,TRADITIONAL ISD/CSD,6076,4060,1236,129,4034,2026,904,-999,642,147,780,399,645,5503
STATE,DISTRICT,2022-2023,191901,CANYON ISD,16,TRADITIONAL ISD/CSD,11075,3838,0,604,4027,394,157,60,501,185,237,1020,1489,3452
STATE,DISTRICT,2022-2023,201913,CARLISLE ISD,7,TRADITIONAL ISD/CSD,623,373,-999,43,513,234,-999,0,29,-999,12,33,78,623
STATE,DISTRICT,2022-2023,64903,CARRIZO SPRINGS CISD,20,TRADITIONAL ISD/CSD,1903,1224,33,114,1464,102,52,11,131,62,-999,205,199,1903
STATE,DISTRICT,2022-2023,220919,CARROLL ISD,11,TRADITIONAL ISD/CSD,8471,1178,0,420,106,328,305,-999,2058,-999,144,923,677,82
STATE,DISTRICT,2022-2023,57903,CARROLLTON-FARMERS BRANCH ISD,10,TRADITIONAL ISD/CSD,24747,14678,2976,988,16425,9582,5601,-999,2799,200,-999,1012,3847,22780
STATE,DISTRICT,2022-2023,183902,CARTHAGE ISD,7,TRADITIONAL ISD/CSD,2621,1127,0,113,1541,238,236,0,171,0,36,177,338,2621
STATE,DISTRICT,2022-2023,220917,CASTLEBERRY ISD,11,TRADITIONAL ISD/CSD,3710,2662,603,202,3252,1433,834,18,278,31,65,231,559,3710
STATE,DISTRICT,2022-2023,1902,CAYUGA ISD,7,TRADITIONAL ISD/CSD,594,237,0,45,295,-999,-999,-999,30,0,12,62,84,594
STATE,DISTRICT,2022-2023,57904,CEDAR HILL ISD,10,TRADITIONAL ISD/CSD,6920,2909,162,179,4892,590,166,51,415,22,277,320,566,6332
STATE,DISTRICT,2022-2023,227817,CEDARS INTERNATIONAL ACADEMY,13,OPEN ENROLLMENT CHARTER,493,275,125,56,382,261,136,0,12,0,-999,24,83,382
STATE,DISTRICT,2022-2023,116902,CELESTE ISD,10,TRADITIONAL ISD/CSD,519,102,0,51,318,27,27,0,24,-999,-999,37,90,356
STATE,DISTRICT,2022-2023,43903,CELINA ISD,10,TRADITIONAL ISD/CSD,3897,1096,80,244,745,424,305,0,203,16,303,460,473,1092
STATE,DISTRICT,2022-2023,210901,CENTER ISD,7,TRADITIONAL ISD/CSD,2491,1589,127,190,1935,845,519,10,50,23,-999,195,329,2490
STATE,DISTRICT,2022-2023,133901,CENTER POINT ISD,20,TRADITIONAL ISD/CSD,549,360,0,38,393,131,130,0,30,-999,14,42,106,549
