SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,CTE,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2019-2020,57816,A W BROWN LEADERSHIP ACADEMY,10,OPEN ENROLLMENT CHARTER,1725,482,0,0,14,1050,14,13,0,0,-999,0,91,1725
STATE,DISTRICT,2019-2020,57829,A+ ACADEMY,10,OPEN ENROLLMENT CHARTER,1399,742,161,484,43,1308,641,194,-999,39,0,-999,133,1399
STATE,DISTRICT,2019-2020,101871,A+ UNLIMITED POTENTIAL,4,OPEN ENROLLMENT CHARTER,136,78,0,0,-999,92,16,16,0,0,-999,0,27,136
STATE,DISTRICT,2019-2020,109901,ABBOTT ISD,12,TRADITIONAL ISD/CSD,288,91,0,127,12,80,-999,-999,0,12,-999,-999,32,288
STATE,DISTRICT,2019-2020,95901,ABERNATHY ISD,17,TRADITIONAL ISD/CSD,818,316,0,241,55,406,13,12,-999,103,12,13,61,813
STATE,DISTRICT,2019-2020,221901,ABILENE ISD,14,TRADITIONAL ISD/CSD,16612,8478,206,4660,284,11192,920,680,172,1223,1006,983,2222,6392
STATE,DISTRICT,2019-2020,57814,ACADEMY FOR ACADEMIC EXCELLENCE,10,OPEN ENROLLMENT CHARTER,493,493,0,51,0,493,104,98,-999,0,-999,0,111,493
STATE,DISTRICT,2019-2020,14901,ACADEMY ISD,12,TRADITIONAL ISD/CSD,1723,457,0,411,53,709,89,81,-999,124,20,58,168,1325
STATE,DISTRICT,2019-2020,101810,ACADEMY OF ACCELERATED LEARNING IN,4,OPEN ENROLLMENT CHARTER,787,459,172,0,-999,762,423,249,-999,0,49,0,19,787
STATE,DISTRICT,2019-2020,57810,ACADEMY OF DALLAS,10,OPEN ENROLLMENT CHARTER,480,237,0,0,-999,480,53,47,-999,0,0,0,25,480
STATE,DISTRICT,2019-2020,101849,ACCELERATED INTERMEDIATE ACADEMY,4,OPEN ENROLLMENT CHARTER,249,125,0,0,0,236,85,85,0,0,0,0,-999,249
STATE,DISTRICT,2019-2020,180903,ADRIAN ISD,16,TRADITIONAL ISD/CSD,128,57,0,72,15,80,-999,-999,0,-999,0,0,15,128
STATE,DISTRICT,2019-2020,57806,ADVANTAGE ACADEMY,10,OPEN ENROLLMENT CHARTER,1396,928,0,442,13,1087,345,302,-999,26,0,-999,80,1390
STATE,DISTRICT,2019-2020,178901,AGUA DULCE ISD,2,TRADITIONAL ISD/CSD,385,158,0,116,15,287,-999,-999,0,-999,0,0,34,385
STATE,DISTRICT,2019-2020,15901,ALAMO HEIGHTS ISD,20,TRADITIONAL ISD/CSD,4944,1393,328,782,313,970,331,166,-999,1037,-999,271,458,107
STATE,DISTRICT,2019-2020,250906,ALBA-GOLDEN ISD,7,TRADITIONAL ISD/CSD,881,292,0,283,52,473,16,14,-999,37,33,-999,117,880
STATE,DISTRICT,2019-2020,209901,ALBANY ISD,14,TRADITIONAL ISD/CSD,522,251,0,240,16,209,10,10,-999,12,-999,13,44,522
STATE,DISTRICT,2019-2020,101902,ALDINE ISD,4,TRADITIONAL ISD/CSD,67259,48274,11713,21750,3654,59094,25743,9082,369,2925,227,60,5931,67147
STATE,DISTRICT,2019-2020,184907,ALEDO ISD,11,TRADITIONAL ISD/CSD,6437,1428,0,1649,421,884,172,171,-999,423,23,222,571,1294
STATE,DISTRICT,2019-2020,125901,ALICE ISD,2,TRADITIONAL ISD/CSD,4870,2701,0,1364,254,4024,134,119,27,146,190,18,549,4834
