SCOPE,AGGREGATION LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,CHARTER STATUS,ALL ENROLLMENT,AT RISK,BILINGUAL,DYSLEXIC,ECONOMICALLY DISADVANTAGED,EMERGENT BILINGUAL/ENGLISH LEARNER,ESL,FOSTER CARE,GIFTED & TALENTED,HOMELESS,MILITARY CONNECTED,SPECIAL EDUCATION,TITLE I
STATE,DISTRICT,2020-2021,57816,A W BROWN LEADERSHIP ACADEMY,10,OPEN ENROLLMENT CHARTER,1383,298,0,92,1317,11,11,0,0,-999,0,91,1383
STATE,DISTRICT,2020-2021,57829,A+ ACADEMY,10,OPEN ENROLLMENT CHARTER,1456,982,124,47,1265,696,84,0,63,-999,-999,129,1360
STATE,DISTRICT,2020-2021,101871,A+ UNLIMITED POTENTIAL,4,OPEN ENROLLMENT CHARTER,152,106,0,-999,105,10,10,0,0,0,0,40,152
STATE,DISTRICT,2020-2021,109901,ABBOTT ISD,12,TRADITIONAL ISD/CSD,274,94,0,13,78,-999,-999,0,13,0,0,33,274
STATE,DISTRICT,2020-2021,95901,ABERNATHY ISD,17,TRADITIONAL ISD/CSD,810,233,0,50,387,13,12,-999,100,0,11,79,810
STATE,DISTRICT,2020-2021,221901,ABILENE ISD,14,TRADITIONAL ISD/CSD,15680,7853,149,354,10610,804,572,198,1146,805,1176,2298,5831
STATE,DISTRICT,2020-2021,57814,ACADEMY FOR ACADEMIC EXCELLENCE,10,OPEN ENROLLMENT CHARTER,308,308,0,0,308,58,54,-999,0,0,0,69,308
STATE,DISTRICT,2020-2021,14901,ACADEMY ISD,12,TRADITIONAL ISD/CSD,1726,255,0,58,542,99,56,-999,109,24,105,173,1725
STATE,DISTRICT,2020-2021,101810,ACADEMY OF ACCELERATED LEARNING IN,4,OPEN ENROLLMENT CHARTER,851,517,179,-999,823,480,299,0,0,53,0,18,851
STATE,DISTRICT,2020-2021,57810,ACADEMY OF DALLAS,10,OPEN ENROLLMENT CHARTER,341,184,0,-999,339,36,32,-999,0,0,0,17,341
STATE,DISTRICT,2020-2021,101849,ACCELERATED INTERMEDIATE ACADEMY,4,OPEN ENROLLMENT CHARTER,235,113,0,0,228,72,72,0,0,0,0,-999,235
STATE,DISTRICT,2020-2021,180903,ADRIAN ISD,16,TRADITIONAL ISD/CSD,122,50,0,15,83,-999,-999,0,-999,-999,0,14,122
STATE,DISTRICT,2020-2021,57806,ADVANTAGE ACADEMY,10,OPEN ENROLLMENT CHARTER,1207,1055,0,14,983,308,266,0,47,0,0,88,1207
STATE,DISTRICT,2020-2021,178901,AGUA DULCE ISD,2,TRADITIONAL ISD/CSD,406,145,0,15,311,-999,-999,0,11,0,0,39,406
STATE,DISTRICT,2020-2021,15901,ALAMO HEIGHTS ISD,20,TRADITIONAL ISD/CSD,4846,1157,514,313,854,283,125,-999,1038,0,261,496,52
STATE,DISTRICT,2020-2021,250906,ALBA-GOLDEN ISD,7,TRADITIONAL ISD/CSD,861,304,0,64,465,17,17,12,40,29,-999,126,851
STATE,DISTRICT,2020-2021,209901,ALBANY ISD,14,TRADITIONAL ISD/CSD,503,223,0,18,212,10,10,-999,16,-999,13,51,503
STATE,DISTRICT,2020-2021,101902,ALDINE ISD,4,TRADITIONAL ISD/CSD,63302,44693,10894,3615,57983,24695,9560,365,2573,115,88,5732,63196
STATE,DISTRICT,2020-2021,184907,ALEDO ISD,11,TRADITIONAL ISD/CSD,6723,1275,0,499,865,167,166,-999,409,25,250,658,1348
STATE,DISTRICT,2020-2021,125901,ALICE ISD,2,TRADITIONAL ISD/CSD,4676,2220,0,245,3880,124,111,10,119,198,18,564,4676
STATE,DISTRICT,2020-2021,101903,ALIEF ISD,4,TRADITIONAL ISD/CSD,41724,34179,9392,976,36312,19320,7262,33,2027,310,134,3931,41691
STATE,DISTRICT,2020-2021,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,4,OPEN ENROLLMENT CHARTER,331,261,0,-999,251,246,247,0,0,0,0,15,331
STATE,DISTRICT,2020-2021,43901,ALLEN ISD,10,TRADITIONAL ISD/CSD,21617,5189,242,1517,4908,1829,1265,24,3114,24,1096,2810,1098
STATE,DISTRICT,2020-2021,22901,ALPINE ISD,18,TRADITIONAL ISD/CSD,974,274,0,27,519,70,35,0,36,-999,-999,112,974
STATE,DISTRICT,2020-2021,37901,ALTO ISD,7,TRADITIONAL ISD/CSD,609,305,0,33,475,121,114,-999,31,39,-999,95,609
STATE,DISTRICT,2020-2021,126901,ALVARADO ISD,11,TRADITIONAL ISD/CSD,3565,1693,307,114,2442,784,391,10,245,32,21,310,2442
STATE,DISTRICT,2020-2021,20901,ALVIN ISD,4,TRADITIONAL ISD/CSD,27006,12242,1584,1203,14302,4678,2781,107,1802,305,242,3289,13683
STATE,DISTRICT,2020-2021,249901,ALVORD ISD,11,TRADITIONAL ISD/CSD,709,304,0,69,296,29,29,-999,70,12,-999,120,335
STATE,DISTRICT,2020-2021,188901,AMARILLO ISD,16,TRADITIONAL ISD/CSD,31388,15574,1221,1487,20973,4951,3356,61,1790,1307,209,4258,24925
STATE,DISTRICT,2020-2021,84804,AMBASSADORS PREPARATORY ACADEMY,4,OPEN ENROLLMENT CHARTER,246,98,0,-999,246,0,0,0,26,0,-999,13,246
STATE,DISTRICT,2020-2021,140901,AMHERST ISD,17,TRADITIONAL ISD/CSD,133,95,0,-999,114,70,70,-999,-999,0,-999,17,133
STATE,DISTRICT,2020-2021,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,4,OPEN ENROLLMENT CHARTER,502,445,304,-999,497,443,121,0,0,0,0,30,502
STATE,DISTRICT,2020-2021,36901,ANAHUAC ISD,4,TRADITIONAL ISD/CSD,1326,423,0,62,614,92,92,-999,64,42,65,149,932
STATE,DISTRICT,2020-2021,93901,ANDERSON-SHIRO CISD,6,TRADITIONAL ISD/CSD,887,226,0,74,380,42,41,0,52,-999,-999,109,887
STATE,DISTRICT,2020-2021,2901,ANDREWS ISD,18,TRADITIONAL ISD/CSD,4128,1735,395,242,1923,528,179,-999,264,64,60,394,4071
STATE,DISTRICT,2020-2021,20902,ANGLETON ISD,4,TRADITIONAL ISD/CSD,6863,3643,737,391,5018,954,467,29,314,125,207,889,4838
STATE,DISTRICT,2020-2021,43902,ANNA ISD,10,TRADITIONAL ISD/CSD,3979,1504,114,306,1926,500,264,15,172,20,229,592,1832
STATE,DISTRICT,2020-2021,127901,ANSON ISD,14,TRADITIONAL ISD/CSD,708,412,0,54,445,17,17,-999,57,105,18,93,708
STATE,DISTRICT,2020-2021,71906,ANTHONY ISD,19,TRADITIONAL ISD/CSD,787,374,88,20,508,209,65,0,65,-999,-999,93,787
STATE,DISTRICT,2020-2021,110901,ANTON ISD,17,TRADITIONAL ISD/CSD,184,101,0,-999,168,-999,0,-999,-999,0,16,28,184
STATE,DISTRICT,2020-2021,228905,APPLE SPRINGS ISD,6,TRADITIONAL ISD/CSD,206,50,0,17,123,0,0,0,19,0,0,42,206
STATE,DISTRICT,2020-2021,109912,AQUILLA ISD,12,TRADITIONAL ISD/CSD,319,117,0,20,147,15,15,-999,36,-999,-999,42,319
STATE,DISTRICT,2020-2021,4901,ARANSAS COUNTY ISD,2,TRADITIONAL ISD/CSD,3010,1794,0,229,2047,139,139,34,152,143,34,395,3010
STATE,DISTRICT,2020-2021,205901,ARANSAS PASS ISD,2,TRADITIONAL ISD/CSD,1645,689,0,84,1264,146,117,12,75,40,11,164,1645
STATE,DISTRICT,2020-2021,5901,ARCHER CITY ISD,9,TRADITIONAL ISD/CSD,502,169,0,38,234,-999,-999,-999,28,23,-999,66,263
STATE,DISTRICT,2020-2021,61910,ARGYLE ISD,11,TRADITIONAL ISD/CSD,3795,600,0,246,253,119,118,-999,309,0,235,432,43
STATE,DISTRICT,2020-2021,101803,ARISTOI CLASSICAL ACADEMY,4,OPEN ENROLLMENT CHARTER,1072,238,0,42,254,16,16,0,0,0,-999,107,1072
STATE,DISTRICT,2020-2021,220802,ARLINGTON CLASSICS ACADEMY,11,OPEN ENROLLMENT CHARTER,1542,321,0,24,317,102,102,-999,0,0,18,59,68
STATE,DISTRICT,2020-2021,220901,ARLINGTON ISD,11,TRADITIONAL ISD/CSD,56840,33886,5680,1433,42242,16793,10585,93,5667,1455,568,4799,35323
STATE,DISTRICT,2020-2021,212901,ARP ISD,7,TRADITIONAL ISD/CSD,876,265,0,62,487,26,24,-999,60,10,-999,100,876
STATE,DISTRICT,2020-2021,21805,ARROW ACADEMY,6,OPEN ENROLLMENT CHARTER,691,366,0,20,478,96,69,-999,-999,18,-999,54,691
STATE,DISTRICT,2020-2021,217901,ASPERMONT ISD,14,TRADITIONAL ISD/CSD,213,118,0,11,122,-999,-999,0,13,17,-999,25,104
STATE,DISTRICT,2020-2021,107901,ATHENS ISD,10,TRADITIONAL ISD/CSD,2982,1749,130,201,2373,781,301,34,101,13,26,421,2982
STATE,DISTRICT,2020-2021,34901,ATLANTA ISD,8,TRADITIONAL ISD/CSD,1848,522,0,119,1275,34,34,-999,173,76,12,249,1847
STATE,DISTRICT,2020-2021,61907,AUBREY ISD,11,TRADITIONAL ISD/CSD,2644,682,0,181,785,119,111,-999,145,32,199,279,1261
STATE,DISTRICT,2020-2021,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,13,OPEN ENROLLMENT CHARTER,2183,1535,0,54,2000,1309,1245,-999,0,0,13,208,2183
STATE,DISTRICT,2020-2021,227821,AUSTIN DISCOVERY SCHOOL,13,OPEN ENROLLMENT CHARTER,433,54,0,60,83,-999,-999,-999,0,-999,0,47,12
STATE,DISTRICT,2020-2021,227901,AUSTIN ISD,13,TRADITIONAL ISD/CSD,74871,35342,13152,6784,38824,21108,8708,112,9218,563,190,10032,29477
STATE,DISTRICT,2020-2021,196901,AUSTWELL-TIVOLI ISD,3,TRADITIONAL ISD/CSD,137,54,0,-999,73,-999,-999,0,-999,-999,0,31,120
STATE,DISTRICT,2020-2021,70901,AVALON ISD,10,TRADITIONAL ISD/CSD,332,20,0,29,167,15,15,0,25,0,0,41,331
STATE,DISTRICT,2020-2021,194902,AVERY ISD,8,TRADITIONAL ISD/CSD,322,101,0,26,191,-999,-999,0,19,14,10,40,322
STATE,DISTRICT,2020-2021,34902,AVINGER ISD,8,TRADITIONAL ISD/CSD,140,46,0,-999,116,-999,-999,0,-999,0,0,17,140
STATE,DISTRICT,2020-2021,161918,AXTELL ISD,12,TRADITIONAL ISD/CSD,772,242,0,40,432,-999,-999,-999,49,16,-999,123,425
STATE,DISTRICT,2020-2021,220915,AZLE ISD,11,TRADITIONAL ISD/CSD,6685,2335,46,349,3082,436,323,14,311,129,171,880,3662
STATE,DISTRICT,2020-2021,30903,BAIRD ISD,14,TRADITIONAL ISD/CSD,281,109,0,11,163,-999,-999,-999,22,20,-999,43,158
STATE,DISTRICT,2020-2021,200901,BALLINGER ISD,15,TRADITIONAL ISD/CSD,854,442,0,85,505,16,16,-999,50,14,25,106,375
STATE,DISTRICT,2020-2021,195902,BALMORHEA ISD,18,TRADITIONAL ISD/CSD,155,98,0,-999,138,12,12,0,0,-999,10,16,155
STATE,DISTRICT,2020-2021,10902,BANDERA ISD,20,TRADITIONAL ISD/CSD,2218,1033,0,77,1098,107,94,10,117,21,158,339,1020
STATE,DISTRICT,2020-2021,25901,BANGS ISD,15,TRADITIONAL ISD/CSD,837,222,0,76,533,18,16,22,44,0,23,89,582
STATE,DISTRICT,2020-2021,178913,BANQUETE ISD,2,TRADITIONAL ISD/CSD,855,253,0,46,631,22,19,-999,59,-999,-999,95,853
STATE,DISTRICT,2020-2021,36902,BARBERS HILL ISD,4,TRADITIONAL ISD/CSD,6424,1976,123,243,1573,240,119,10,453,15,564,667,3130
STATE,DISTRICT,2020-2021,14902,BARTLETT ISD,13,TRADITIONAL ISD/CSD,380,131,0,16,337,75,25,0,-999,30,-999,45,380
STATE,DISTRICT,2020-2021,15834,BASIS TEXAS,20,OPEN ENROLLMENT CHARTER,3048,858,0,29,245,415,164,-999,0,-999,316,81,0
STATE,DISTRICT,2020-2021,11901,BASTROP ISD,13,TRADITIONAL ISD/CSD,11405,7484,918,980,8297,3844,1639,41,736,457,78,1372,7804
STATE,DISTRICT,2020-2021,158901,BAY CITY ISD,3,TRADITIONAL ISD/CSD,3536,1585,104,76,2859,573,259,-999,48,85,-999,372,3536
STATE,DISTRICT,2020-2021,101847,BEATRICE MAYES INSTITUTE CHARTER S,4,OPEN ENROLLMENT CHARTER,470,183,0,0,318,0,0,0,0,0,0,24,470
STATE,DISTRICT,2020-2021,123910,BEAUMONT ISD,5,TRADITIONAL ISD/CSD,17128,6603,256,819,13311,2237,1459,76,1292,228,90,1546,17005
STATE,DISTRICT,2020-2021,183901,BECKVILLE ISD,7,TRADITIONAL ISD/CSD,673,173,0,59,252,16,16,0,-999,-999,-999,81,673
STATE,DISTRICT,2020-2021,13901,BEEVILLE ISD,2,TRADITIONAL ISD/CSD,3157,1608,0,32,2761,77,71,-999,144,16,-999,404,3153
STATE,DISTRICT,2020-2021,39904,BELLEVUE ISD,9,TRADITIONAL ISD/CSD,145,46,0,18,79,-999,-999,0,-999,-999,0,19,145
STATE,DISTRICT,2020-2021,91901,BELLS ISD,10,TRADITIONAL ISD/CSD,868,208,0,65,307,12,12,0,67,-999,-999,109,384
STATE,DISTRICT,2020-2021,8901,BELLVILLE ISD,6,TRADITIONAL ISD/CSD,2196,956,34,143,1000,205,75,0,240,-999,53,293,826
STATE,DISTRICT,2020-2021,14903,BELTON ISD,12,TRADITIONAL ISD/CSD,12609,4367,191,547,5348,747,301,54,1101,183,1538,1836,3961
STATE,DISTRICT,2020-2021,125902,BEN BOLT-PALITO BLANCO ISD,2,TRADITIONAL ISD/CSD,521,381,0,30,442,17,17,0,24,-999,-999,53,521
STATE,DISTRICT,2020-2021,66901,BENAVIDES ISD,2,TRADITIONAL ISD/CSD,255,109,0,-999,225,-999,-999,0,14,0,0,37,254
STATE,DISTRICT,2020-2021,138904,BENJAMIN ISD,9,TRADITIONAL ISD/CSD,131,32,0,12,95,-999,-999,0,-999,0,0,24,131
STATE,DISTRICT,2020-2021,101870,BETA ACADEMY,4,OPEN ENROLLMENT CHARTER,1205,492,0,-999,824,248,30,-999,0,-999,13,77,1205
STATE,DISTRICT,2020-2021,152806,BETTY M CONDRA SCHOOL FOR EDUCATIO,17,OPEN ENROLLMENT CHARTER,148,83,0,22,106,0,0,0,0,-999,-999,41,106
STATE,DISTRICT,2020-2021,15809,BEXAR COUNTY ACADEMY,20,OPEN ENROLLMENT CHARTER,274,233,0,20,264,65,64,0,0,0,-999,27,274
STATE,DISTRICT,2020-2021,187901,BIG SANDY ISD,6,TRADITIONAL ISD/CSD,496,117,0,59,263,-999,-999,0,28,15,-999,69,496
STATE,DISTRICT,2020-2021,230901,BIG SANDY ISD,7,TRADITIONAL ISD/CSD,643,230,0,41,435,26,26,-999,31,40,-999,98,643
STATE,DISTRICT,2020-2021,114901,BIG SPRING ISD,18,TRADITIONAL ISD/CSD,3698,2103,15,201,2453,189,63,16,169,36,36,588,3605
STATE,DISTRICT,2020-2021,193801,BIG SPRINGS CHARTER SCHOOL,20,OPEN ENROLLMENT CHARTER,235,202,0,-999,184,-999,0,113,0,-999,0,102,234
STATE,DISTRICT,2020-2021,220902,BIRDVILLE ISD,11,TRADITIONAL ISD/CSD,22736,11822,1742,1744,13550,5093,3114,51,1916,148,12,2598,12131
STATE,DISTRICT,2020-2021,178902,BISHOP CISD,2,TRADITIONAL ISD/CSD,1556,644,0,86,966,68,66,-999,89,25,163,213,1556
STATE,DISTRICT,2020-2021,177903,BLACKWELL CISD,14,TRADITIONAL ISD/CSD,168,51,0,17,53,-999,-999,0,14,0,-999,25,0
STATE,DISTRICT,2020-2021,16902,BLANCO ISD,13,TRADITIONAL ISD/CSD,1011,311,0,61,412,83,72,0,64,-999,-999,150,411
STATE,DISTRICT,2020-2021,116915,BLAND ISD,10,TRADITIONAL ISD/CSD,724,263,0,24,380,126,100,0,50,18,-999,99,512
STATE,DISTRICT,2020-2021,25904,BLANKET ISD,15,TRADITIONAL ISD/CSD,143,69,0,-999,83,-999,-999,13,-999,0,-999,19,143
STATE,DISTRICT,2020-2021,101875,BLOOM ACADEMY CHARTER SCHOOL,4,OPEN ENROLLMENT CHARTER,93,42,0,0,87,0,0,0,0,0,0,14,93
STATE,DISTRICT,2020-2021,34909,BLOOMBURG ISD,8,TRADITIONAL ISD/CSD,250,120,0,22,207,-999,-999,0,-999,0,0,32,250
STATE,DISTRICT,2020-2021,175902,BLOOMING GROVE ISD,12,TRADITIONAL ISD/CSD,897,288,0,44,578,147,129,0,49,11,-999,75,895
STATE,DISTRICT,2020-2021,235901,BLOOMINGTON ISD,3,TRADITIONAL ISD/CSD,887,490,0,35,732,164,95,-999,41,39,-999,135,885
STATE,DISTRICT,2020-2021,43917,BLUE RIDGE ISD,10,TRADITIONAL ISD/CSD,888,325,0,88,385,62,62,-999,60,-999,-999,108,874
STATE,DISTRICT,2020-2021,72904,BLUFF DALE ISD,11,TRADITIONAL ISD/CSD,224,68,0,25,68,-999,-999,-999,16,-999,13,19,0
STATE,DISTRICT,2020-2021,109913,BLUM ISD,12,TRADITIONAL ISD/CSD,365,142,0,39,224,-999,-999,0,25,39,-999,53,365
STATE,DISTRICT,2020-2021,123807,BOB HOPE SCHOOL,5,OPEN ENROLLMENT CHARTER,2385,990,0,27,2025,881,0,0,0,0,-999,83,2385
STATE,DISTRICT,2020-2021,130901,BOERNE ISD,20,TRADITIONAL ISD/CSD,9617,3717,510,615,1744,563,242,25,894,21,351,1180,297
STATE,DISTRICT,2020-2021,116916,BOLES ISD,10,TRADITIONAL ISD/CSD,497,190,0,34,249,20,18,0,29,33,32,69,497
STATE,DISTRICT,2020-2021,241901,BOLING ISD,3,TRADITIONAL ISD/CSD,1101,302,0,28,584,77,54,0,57,15,-999,94,1101
STATE,DISTRICT,2020-2021,74903,BONHAM ISD,10,TRADITIONAL ISD/CSD,1796,672,56,140,1239,278,127,-999,97,19,15,273,1795
STATE,DISTRICT,2020-2021,148901,BOOKER ISD,16,TRADITIONAL ISD/CSD,362,220,0,11,258,130,58,-999,12,33,0,34,362
STATE,DISTRICT,2020-2021,17901,BORDEN COUNTY ISD,17,TRADITIONAL ISD/CSD,231,36,0,-999,86,-999,-999,0,-999,0,0,18,231
STATE,DISTRICT,2020-2021,117901,BORGER ISD,16,TRADITIONAL ISD/CSD,2472,1214,37,175,1419,265,100,-999,129,0,17,317,1697
STATE,DISTRICT,2020-2021,161923,BOSQUEVILLE ISD,12,TRADITIONAL ISD/CSD,729,89,0,65,272,27,24,-999,62,0,-999,115,729
STATE,DISTRICT,2020-2021,185901,BOVINA ISD,16,TRADITIONAL ISD/CSD,465,262,0,26,375,126,125,0,13,-999,0,54,465
STATE,DISTRICT,2020-2021,169901,BOWIE ISD,9,TRADITIONAL ISD/CSD,1693,949,0,199,855,119,99,13,121,13,33,240,1693
STATE,DISTRICT,2020-2021,249902,BOYD ISD,11,TRADITIONAL ISD/CSD,1267,530,0,82,629,63,55,-999,40,-999,36,120,659
STATE,DISTRICT,2020-2021,180901,BOYS RANCH ISD,16,TRADITIONAL ISD/CSD,206,147,0,12,149,-999,-999,0,18,0,0,36,206
STATE,DISTRICT,2020-2021,136901,BRACKETT ISD,20,TRADITIONAL ISD/CSD,519,195,0,11,333,25,19,0,26,0,-999,86,519
STATE,DISTRICT,2020-2021,160901,BRADY ISD,15,TRADITIONAL ISD/CSD,991,371,0,82,676,33,33,-999,53,-999,-999,156,991
STATE,DISTRICT,2020-2021,8903,BRAZOS ISD,6,TRADITIONAL ISD/CSD,795,222,0,57,497,118,104,-999,36,-999,-999,93,333
STATE,DISTRICT,2020-2021,213801,BRAZOS RIVER CHARTER SCHOOL,11,OPEN ENROLLMENT CHARTER,207,156,0,10,112,-999,-999,-999,0,0,-999,41,207
STATE,DISTRICT,2020-2021,21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,6,OPEN ENROLLMENT CHARTER,327,150,0,-999,306,127,125,-999,0,0,0,30,224
STATE,DISTRICT,2020-2021,20905,BRAZOSPORT ISD,4,TRADITIONAL ISD/CSD,11424,5174,545,420,7953,1372,625,10,1201,226,199,1342,6476
STATE,DISTRICT,2020-2021,215901,BRECKENRIDGE ISD,14,TRADITIONAL ISD/CSD,1402,674,0,113,884,113,81,0,79,74,0,190,658
STATE,DISTRICT,2020-2021,198901,BREMOND ISD,6,TRADITIONAL ISD/CSD,494,96,0,35,243,20,20,12,17,0,-999,52,249
STATE,DISTRICT,2020-2021,239901,BRENHAM ISD,6,TRADITIONAL ISD/CSD,4944,2098,163,262,3007,595,400,-999,324,12,13,707,1707
STATE,DISTRICT,2020-2021,181901,BRIDGE CITY ISD,5,TRADITIONAL ISD/CSD,3028,693,0,111,1082,178,159,-999,57,59,54,325,3028
STATE,DISTRICT,2020-2021,249903,BRIDGEPORT ISD,11,TRADITIONAL ISD/CSD,2051,1031,217,106,1338,581,329,-999,90,45,44,263,1450
STATE,DISTRICT,2020-2021,57851,BRIDGEWAY PREPARATORY ACADEMY,10,OPEN ENROLLMENT CHARTER,101,45,0,-999,41,20,20,0,0,0,0,20,101
STATE,DISTRICT,2020-2021,203902,BROADDUS ISD,7,TRADITIONAL ISD/CSD,351,87,0,-999,281,16,16,-999,33,-999,-999,68,351
STATE,DISTRICT,2020-2021,184909,BROCK ISD,11,TRADITIONAL ISD/CSD,1765,225,0,136,192,33,33,-999,113,0,42,152,41
STATE,DISTRICT,2020-2021,41901,BRONTE ISD,15,TRADITIONAL ISD/CSD,240,47,0,24,112,-999,-999,0,21,0,-999,30,240
STATE,DISTRICT,2020-2021,121902,BROOKELAND ISD,5,TRADITIONAL ISD/CSD,368,122,0,65,223,0,0,-999,0,-999,-999,43,362
STATE,DISTRICT,2020-2021,25908,BROOKESMITH ISD,15,TRADITIONAL ISD/CSD,158,55,0,-999,92,-999,-999,14,-999,0,-999,16,144
STATE,DISTRICT,2020-2021,15830,BROOKS ACADEMIES OF TEXAS,20,OPEN ENROLLMENT CHARTER,3079,963,40,122,2135,168,155,-999,258,0,90,411,3077
STATE,DISTRICT,2020-2021,24901,BROOKS COUNTY ISD,1,TRADITIONAL ISD/CSD,1438,831,0,24,1235,31,29,-999,37,18,0,205,1434
STATE,DISTRICT,2020-2021,223901,BROWNFIELD ISD,17,TRADITIONAL ISD/CSD,1598,880,0,45,1390,130,128,21,62,47,28,213,1598
STATE,DISTRICT,2020-2021,107902,BROWNSBORO ISD,7,TRADITIONAL ISD/CSD,2593,1233,0,238,1487,143,35,13,154,-999,106,374,2593
STATE,DISTRICT,2020-2021,31901,BROWNSVILLE ISD,1,TRADITIONAL ISD/CSD,40765,28484,8393,2649,36369,14532,5346,129,4659,595,199,5891,40373
STATE,DISTRICT,2020-2021,25902,BROWNWOOD ISD,15,TRADITIONAL ISD/CSD,3439,1659,0,271,2030,105,100,92,242,52,59,398,3439
STATE,DISTRICT,2020-2021,161919,BRUCEVILLE-EDDY ISD,12,TRADITIONAL ISD/CSD,614,239,0,59,352,16,16,0,56,13,0,103,396
STATE,DISTRICT,2020-2021,21902,BRYAN ISD,6,TRADITIONAL ISD/CSD,15761,11323,2641,608,12106,4314,1136,35,1415,339,107,2103,10700
STATE,DISTRICT,2020-2021,119901,BRYSON ISD,9,TRADITIONAL ISD/CSD,260,99,0,12,141,-999,-999,0,13,0,0,30,260
STATE,DISTRICT,2020-2021,166907,BUCKHOLTS ISD,6,TRADITIONAL ISD/CSD,141,16,0,-999,110,-999,-999,-999,-999,-999,0,22,141
STATE,DISTRICT,2020-2021,186901,BUENA VISTA ISD,18,TRADITIONAL ISD/CSD,240,33,0,-999,119,30,30,0,22,0,0,12,240
STATE,DISTRICT,2020-2021,145901,BUFFALO ISD,6,TRADITIONAL ISD/CSD,947,409,0,39,642,154,147,0,46,0,0,88,947
STATE,DISTRICT,2020-2021,212902,BULLARD ISD,7,TRADITIONAL ISD/CSD,2675,855,0,130,917,66,64,13,157,-999,32,334,1457
STATE,DISTRICT,2020-2021,121903,BUNA ISD,5,TRADITIONAL ISD/CSD,1492,657,0,65,701,-999,-999,-999,101,27,23,193,693
STATE,DISTRICT,2020-2021,243901,BURKBURNETT ISD,9,TRADITIONAL ISD/CSD,3199,1455,0,171,1497,57,55,-999,220,83,569,478,3197
STATE,DISTRICT,2020-2021,176901,BURKEVILLE ISD,5,TRADITIONAL ISD/CSD,269,91,0,17,226,0,0,0,-999,-999,-999,37,269
STATE,DISTRICT,2020-2021,126902,BURLESON ISD,11,TRADITIONAL ISD/CSD,12547,4005,233,744,4118,808,530,38,836,69,1416,1399,4741
STATE,DISTRICT,2020-2021,27903,BURNET CISD,13,TRADITIONAL ISD/CSD,3113,1423,62,286,1621,280,213,19,102,31,242,465,2166
STATE,DISTRICT,2020-2021,71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,19,OPEN ENROLLMENT CHARTER,1252,645,261,23,439,512,241,0,0,0,39,54,1252
STATE,DISTRICT,2020-2021,239903,BURTON ISD,6,TRADITIONAL ISD/CSD,481,118,0,38,253,30,19,-999,28,0,0,52,278
STATE,DISTRICT,2020-2021,188904,BUSHLAND ISD,16,TRADITIONAL ISD/CSD,1448,347,0,148,285,13,13,-999,124,13,114,188,493
STATE,DISTRICT,2020-2021,109902,BYNUM ISD,12,TRADITIONAL ISD/CSD,195,45,0,26,115,12,11,0,-999,29,-999,43,195
STATE,DISTRICT,2020-2021,116901,CADDO MILLS ISD,10,TRADITIONAL ISD/CSD,1992,493,0,225,580,74,74,0,67,12,28,256,924
STATE,DISTRICT,2020-2021,178903,CALALLEN ISD,2,TRADITIONAL ISD/CSD,3956,1282,0,107,2042,119,114,-999,271,16,143,513,1771
STATE,DISTRICT,2020-2021,26901,CALDWELL ISD,6,TRADITIONAL ISD/CSD,1708,622,37,114,944,193,66,-999,84,12,10,166,1190
STATE,DISTRICT,2020-2021,29901,CALHOUN COUNTY ISD,3,TRADITIONAL ISD/CSD,3681,1583,105,101,2182,489,318,-999,257,102,134,355,2638
