Time;Source;Event
2021-07-01 00:01:22;fridge operation;START
2021-07-01 00:01:22;REFRIGERATOR;ON
2021-07-01 00:15:22;REFRIGERATOR;OFF
2021-07-01 00:15:22;fridge operation;END
2021-07-01 00:43:56;fridge operation;START
2021-07-01 00:43:56;REFRIGERATOR;ON
2021-07-01 00:57:56;REFRIGERATOR;OFF
2021-07-01 00:57:56;fridge operation;END
2021-07-01 01:35:21;fridge operation;START
2021-07-01 01:35:21;REFRIGERATOR;ON
2021-07-01 01:49:21;REFRIGERATOR;OFF
2021-07-01 01:49:21;fridge operation;END
2021-07-01 02:53:19;fridge operation;START
2021-07-01 02:53:19;REFRIGERATOR;ON
2021-07-01 03:07:19;REFRIGERATOR;OFF
2021-07-01 03:07:19;fridge operation;END
2021-07-01 03:49:30;fridge operation;START
2021-07-01 03:49:30;REFRIGERATOR;ON
2021-07-01 04:03:30;REFRIGERATOR;OFF
2021-07-01 04:03:30;fridge operation;END
2021-07-01 04:37:04;fridge operation;START
2021-07-01 04:37:04;REFRIGERATOR;ON
2021-07-01 04:51:04;REFRIGERATOR;OFF
2021-07-01 04:51:04;fridge operation;END
2021-07-01 05:50:29;fridge operation;START
2021-07-01 05:50:29;REFRIGERATOR;ON
2021-07-01 06:04:29;REFRIGERATOR;OFF
2021-07-01 06:04:29;fridge operation;END
2021-07-01 06:50:13;fridge operation;START
2021-07-01 06:50:13;REFRIGERATOR;ON
2021-07-01 07:04:13;REFRIGERATOR;OFF
2021-07-01 07:04:13;fridge operation;END
2021-07-01 07:08:41;dishwasher operation;START
2021-07-01 07:08:48;DISHWASHER;ON
2021-07-01 07:20:38;dishwasher operation;START
2021-07-01 07:20:45;DISHWASHER;ON
2021-07-01 07:47:49;fridge operation;START
2021-07-01 07:47:49;REFRIGERATOR;ON
2021-07-01 08:01:49;REFRIGERATOR;OFF
2021-07-01 08:01:49;fridge operation;END
2021-07-01 08:16:04;DISHWASHER;OFF
2021-07-01 08:16:04;dishwasher operation;END
2021-07-01 08:28:01;DISHWASHER;OFF
2021-07-01 08:28:01;dishwasher operation;END
2021-07-01 08:40:20;fridge operation;START
2021-07-01 08:40:20;REFRIGERATOR;ON
2021-07-01 08:54:20;REFRIGERATOR;OFF
2021-07-01 08:54:20;fridge operation;END
2021-07-01 09:12:42;fridge operation;START
2021-07-01 09:12:42;REFRIGERATOR;ON
2021-07-01 09:26:42;REFRIGERATOR;OFF
2021-07-01 09:26:42;fridge operation;END
2021-07-01 09:56:59;fridge operation;START
2021-07-01 09:56:59;REFRIGERATOR;ON
2021-07-01 10:10:59;REFRIGERATOR;OFF
2021-07-01 10:10:59;fridge operation;END
2021-07-01 10:41:59;fridge operation;START
2021-07-01 10:41:59;REFRIGERATOR;ON
2021-07-01 10:55:59;REFRIGERATOR;OFF
2021-07-01 10:55:59;fridge operation;END
2021-07-01 11:30:37;fridge operation;START
2021-07-01 11:30:37;REFRIGERATOR;ON
2021-07-01 11:44:37;REFRIGERATOR;OFF
2021-07-01 11:44:37;fridge operation;END
2021-07-01 12:14:54;fridge operation;START
2021-07-01 12:14:54;REFRIGERATOR;ON
2021-07-01 12:28:54;REFRIGERATOR;OFF
2021-07-01 12:28:54;fridge operation;END
2021-07-01 13:07:03;fridge operation;START
2021-07-01 13:07:03;REFRIGERATOR;ON
2021-07-01 13:21:03;REFRIGERATOR;OFF
2021-07-01 13:21:03;fridge operation;END
2021-07-01 14:00:04;vacuuming;START
2021-07-01 14:00:04;VACUUMCLEANER;ON
2021-07-01 14:12:04;VACUUMCLEANER;OFF
2021-07-01 14:12:04;vacuuming;END
2021-07-01 14:41:11;fridge operation;START
2021-07-01 14:41:11;REFRIGERATOR;ON
2021-07-01 14:55:11;REFRIGERATOR;OFF
2021-07-01 14:55:11;fridge operation;END
2021-07-01 15:23:24;fridge operation;START
2021-07-01 15:23:24;REFRIGERATOR;ON
2021-07-01 15:37:24;REFRIGERATOR;OFF
2021-07-01 15:37:24;fridge operation;END
2021-07-01 16:11:48;vacuuming;START
2021-07-01 16:11:48;VACUUMCLEANER;ON
2021-07-01 16:23:48;VACUUMCLEANER;OFF
2021-07-01 16:23:48;vacuuming;END
2021-07-01 16:37:52;watching TV;START
2021-07-01 16:37:52;TV;ON
2021-07-01 16:52:58;fridge operation;START
2021-07-01 16:52:58;REFRIGERATOR;ON
2021-07-01 17:04:37;watching TV;START
2021-07-01 17:04:37;TV;ON
2021-07-01 17:06:58;REFRIGERATOR;OFF
2021-07-01 17:06:58;fridge operation;END
2021-07-01 17:35:23;TV;OFF
2021-07-01 17:35:24;TV;ON
2021-07-01 17:57:48;TV;OFF
2021-07-01 17:57:48;watching TV;END
2021-07-01 17:59:47;fridge operation;START
2021-07-01 17:59:47;REFRIGERATOR;ON
2021-07-01 18:08:32;watching TV;START
