Time;Source;Event
2021-07-01 00:00:00;fridge operation;START
2021-07-01 00:00:00;REFRIGERATOR;ON
2021-07-01 00:13:42;REFRIGERATOR;OFF
2021-07-01 00:13:42;fridge operation;END
2021-07-01 01:18:25;fridge operation;START
2021-07-01 01:18:25;REFRIGERATOR;ON
2021-07-01 01:32:07;REFRIGERATOR;OFF
2021-07-01 01:32:07;fridge operation;END
2021-07-01 02:04:54;fridge operation;START
2021-07-01 02:04:54;REFRIGERATOR;ON
2021-07-01 02:18:36;REFRIGERATOR;OFF
2021-07-01 02:18:36;fridge operation;END
2021-07-01 03:08:06;fridge operation;START
2021-07-01 03:08:06;REFRIGERATOR;ON
2021-07-01 03:21:48;REFRIGERATOR;OFF
2021-07-01 03:21:48;fridge operation;END
2021-07-01 03:55:54;fridge operation;START
2021-07-01 03:55:54;REFRIGERATOR;ON
2021-07-01 04:09:36;REFRIGERATOR;OFF
2021-07-01 04:09:36;fridge operation;END
2021-07-01 05:19:29;fridge operation;START
2021-07-01 05:19:29;REFRIGERATOR;ON
2021-07-01 05:33:11;REFRIGERATOR;OFF
2021-07-01 05:33:11;fridge operation;END
2021-07-01 06:11:54;fridge operation;START
2021-07-01 06:11:54;REFRIGERATOR;ON
2021-07-01 06:25:36;REFRIGERATOR;OFF
2021-07-01 06:25:36;fridge operation;END
2021-07-01 06:49:14;fridge operation;START
2021-07-01 06:49:14;REFRIGERATOR;ON
2021-07-01 07:02:56;REFRIGERATOR;OFF
2021-07-01 07:02:56;fridge operation;END
2021-07-01 07:48:37;fridge operation;START
2021-07-01 07:48:37;REFRIGERATOR;ON
2021-07-01 08:02:19;REFRIGERATOR;OFF
2021-07-01 08:02:19;fridge operation;END
2021-07-01 08:30:42;fridge operation;START
2021-07-01 08:30:42;REFRIGERATOR;ON
2021-07-01 08:44:24;REFRIGERATOR;OFF
2021-07-01 08:44:24;fridge operation;END
2021-07-01 09:44:28;fridge operation;START
2021-07-01 09:44:28;REFRIGERATOR;ON
2021-07-01 09:58:10;REFRIGERATOR;OFF
2021-07-01 09:58:10;fridge operation;END
2021-07-01 11:03:57;fridge operation;START
2021-07-01 11:03:57;REFRIGERATOR;ON
2021-07-01 11:17:39;REFRIGERATOR;OFF
2021-07-01 11:17:39;fridge operation;END
2021-07-01 12:47:49;fridge operation;START
2021-07-01 12:47:49;REFRIGERATOR;ON
2021-07-01 13:01:31;REFRIGERATOR;OFF
2021-07-01 13:01:31;fridge operation;END
2021-07-01 13:54:24;fridge operation;START
2021-07-01 13:54:24;REFRIGERATOR;ON
2021-07-01 14:08:06;REFRIGERATOR;OFF
2021-07-01 14:08:06;fridge operation;END
2021-07-01 14:38:56;watching TV;START
2021-07-01 14:38:56;TV;ON
2021-07-01 14:39:13;fridge operation;START
2021-07-01 14:39:13;REFRIGERATOR;ON
2021-07-01 14:52:55;REFRIGERATOR;OFF
2021-07-01 14:52:55;fridge operation;END
2021-07-01 14:56:58;dishwasher operation;START
2021-07-01 14:57:03;DISHWASHER;ON
2021-07-01 15:18:00;TV;OFF
2021-07-01 15:18:01;TV;ON
2021-07-01 15:27:37;use a personal computer;START
2021-07-01 15:27:37;PC;ON
2021-07-01 15:30:08;fridge operation;START
2021-07-01 15:30:08;REFRIGERATOR;ON
2021-07-01 15:35:12;TV;OFF
2021-07-01 15:35:12;watching TV;END
2021-07-01 15:43:50;REFRIGERATOR;OFF
2021-07-01 15:43:50;fridge operation;END
2021-07-01 15:59:02;PC;OFF
2021-07-01 15:59:02;use a personal computer;END
2021-07-01 16:04:19;DISHWASHER;OFF
2021-07-01 16:04:19;dishwasher operation;END
2021-07-01 16:59:06;use a personal computer;START
2021-07-01 16:59:06;PC;ON
2021-07-01 17:04:34;fridge operation;START
2021-07-01 17:04:34;REFRIGERATOR;ON
2021-07-01 17:18:16;REFRIGERATOR;OFF
2021-07-01 17:18:16;fridge operation;END
2021-07-01 17:20:49;watching TV;START
2021-07-01 17:20:49;TV;ON
2021-07-01 17:30:31;PC;OFF
2021-07-01 17:30:31;use a personal computer;END
2021-07-01 17:53:01;TV;OFF
2021-07-01 17:53:02;TV;ON
2021-07-01 18:18:36;TV;OFF
2021-07-01 18:18:36;watching TV;END
2021-07-01 18:45:45;fridge operation;START
2021-07-01 18:45:45;REFRIGERATOR;ON
2021-07-01 18:59:27;REFRIGERATOR;OFF
2021-07-01 18:59:27;fridge operation;END
2021-07-01 19:26:31;fridge operation;START
2021-07-01 19:26:31;REFRIGERATOR;ON
2021-07-01 19:40:13;REFRIGERATOR;OFF
2021-07-01 19:40:13;fridge operation;END
2021-07-01 19:40:20;dishwasher operation;START
2021-07-01 19:40:28;DISHWASHER;ON
2021-07-01 20:24:51;fridge operation;START
2021-07-01 20:24:51;REFRIGERATOR;ON
2021-07-01 20:37:23;use a personal computer;START
2021-07-01 20:37:23;PC;ON
2021-07-01 20:38:33;REFRIGERATOR;OFF
2021-07-01 20:38:33;fridge operation;END
2021-07-01 20:45:39;use a personal computer;START
2021-07-01 20:45:39;PC;ON
2021-07-01 20:47:44;DISHWASHER;OFF
2021-07-01 20:47:44;dishwasher operation;END
2021-07-01 21:08:48;PC;OFF
2021-07-01 21:08:48;use a personal computer;END
2021-07-01 21:12:17;fridge operation;START
2021-07-01 21:12:17;REFRIGERATOR;ON
2021-07-01 21:17:04;PC;OFF
2021-07-01 21:17:04;use a personal computer;END
2021-07-01 21:25:59;REFRIGERATOR;OFF
2021-07-01 21:25:59;fridge operation;END
2021-07-01 21:54:16;watching TV;START
2021-07-01 21:54:16;TV;ON
2021-07-01 22:38:44;TV;OFF
2021-07-01 22:38:45;TV;ON
2021-07-01 22:52:22;fridge operation;START
2021-07-01 22:52:22;REFRIGERATOR;ON
2021-07-01 23:00:33;watching TV;START
2021-07-01 23:00:33;TV;ON
2021-07-01 23:06:04;REFRIGERATOR;OFF
2021-07-01 23:06:04;fridge operation;END
2021-07-01 23:06:10;TV;OFF
2021-07-01 23:06:10;watching TV;END
2021-07-01 23:39:55;TV;OFF
2021-07-01 23:39:55;watching TV;END
2021-07-02 00:00:00;fridge operation;START
2021-07-02 00:00:00;REFRIGERATOR;ON
2021-07-02 00:13:42;REFRIGERATOR;OFF
2021-07-02 00:13:42;fridge operation;END
2021-07-02 00:40:46;fridge operation;START
2021-07-02 00:40:46;REFRIGERATOR;ON
2021-07-02 00:54:28;REFRIGERATOR;OFF
2021-07-02 00:54:28;fridge operation;END
2021-07-02 01:17:50;fridge operation;START
2021-07-02 01:17:50;REFRIGERATOR;ON
2021-07-02 01:31:32;REFRIGERATOR;OFF
2021-07-02 01:31:32;fridge operation;END
2021-07-02 01:57:53;fridge operation;START
2021-07-02 01:57:53;REFRIGERATOR;ON
2021-07-02 02:11:35;REFRIGERATOR;OFF
2021-07-02 02:11:35;fridge operation;END
2021-07-02 02:48:11;fridge operation;START
2021-07-02 02:48:11;REFRIGERATOR;ON
2021-07-02 03:01:53;REFRIGERATOR;OFF
2021-07-02 03:01:53;fridge operation;END
2021-07-02 03:35:24;fridge operation;START
2021-07-02 03:35:24;REFRIGERATOR;ON
2021-07-02 03:49:06;REFRIGERATOR;OFF
2021-07-02 03:49:06;fridge operation;END
2021-07-02 04:33:09;fridge operation;START
2021-07-02 04:33:09;REFRIGERATOR;ON
2021-07-02 04:46:51;REFRIGERATOR;OFF
2021-07-02 04:46:51;fridge operation;END
2021-07-02 05:20:01;fridge operation;START
2021-07-02 05:20:01;REFRIGERATOR;ON
2021-07-02 05:33:43;REFRIGERATOR;OFF
2021-07-02 05:33:43;fridge operation;END
2021-07-02 06:11:06;fridge operation;START
2021-07-02 06:11:06;REFRIGERATOR;ON
2021-07-02 06:24:48;REFRIGERATOR;OFF
2021-07-02 06:24:48;fridge operation;END
2021-07-02 07:19:42;fridge operation;START
2021-07-02 07:19:42;REFRIGERATOR;ON
2021-07-02 07:33:24;REFRIGERATOR;OFF
2021-07-02 07:33:24;fridge operation;END
2021-07-02 08:10:59;fridge operation;START
2021-07-02 08:10:59;REFRIGERATOR;ON
2021-07-02 08:24:41;REFRIGERATOR;OFF
2021-07-02 08:24:41;fridge operation;END
2021-07-02 09:05:21;watching TV;START
2021-07-02 09:05:21;TV;ON
2021-07-02 09:09:37;fridge operation;START
2021-07-02 09:09:37;REFRIGERATOR;ON
2021-07-02 09:23:19;REFRIGERATOR;OFF
2021-07-02 09:23:19;fridge operation;END
2021-07-02 09:39:24;fridge operation;START
2021-07-02 09:39:24;REFRIGERATOR;ON
2021-07-02 09:53:06;REFRIGERATOR;OFF
2021-07-02 09:53:06;fridge operation;END
2021-07-02 10:52:45;TV;OFF
2021-07-02 10:52:46;TV;ON
2021-07-02 10:59:15;fridge operation;START
2021-07-02 10:59:15;REFRIGERATOR;ON
2021-07-02 11:12:57;REFRIGERATOR;OFF
2021-07-02 11:12:57;fridge operation;END
2021-07-02 11:22:34;TV;OFF
2021-07-02 11:22:34;watching TV;END
2021-07-02 11:44:14;vacuuming;START
2021-07-02 11:44:14;VACUUMCLEANER;ON
2021-07-02 11:54:28;fridge operation;START
2021-07-02 11:54:28;REFRIGERATOR;ON
2021-07-02 11:56:14;VACUUMCLEANER;OFF
2021-07-02 11:56:14;vacuuming;END
2021-07-02 12:08:10;REFRIGERATOR;OFF
2021-07-02 12:08:10;fridge operation;END
2021-07-02 12:22:14;vacuuming;START
2021-07-02 12:22:14;VACUUMCLEANER;ON
2021-07-02 12:34:14;VACUUMCLEANER;OFF
2021-07-02 12:34:14;vacuuming;END
2021-07-02 12:35:35;dishwasher operation;START
2021-07-02 12:35:40;DISHWASHER;ON
2021-07-02 12:46:55;fridge operation;START
2021-07-02 12:46:55;REFRIGERATOR;ON
2021-07-02 13:00:37;REFRIGERATOR;OFF
2021-07-02 13:00:37;fridge operation;END
2021-07-02 13:31:44;fridge operation;START
2021-07-02 13:31:44;REFRIGERATOR;ON
2021-07-02 13:34:56;dishwasher operation;START
2021-07-02 13:35:06;DISHWASHER;ON
2021-07-02 13:42:56;DISHWASHER;OFF
2021-07-02 13:42:56;dishwasher operation;END
2021-07-02 13:45:26;REFRIGERATOR;OFF
2021-07-02 13:45:26;fridge operation;END
2021-07-02 14:19:41;watching TV;START
2021-07-02 14:19:41;TV;ON
2021-07-02 14:42:22;DISHWASHER;OFF
2021-07-02 14:42:22;dishwasher operation;END
2021-07-02 14:51:01;fridge operation;START
2021-07-02 14:51:01;REFRIGERATOR;ON
2021-07-02 14:57:59;watching TV;START
2021-07-02 14:57:59;TV;ON
2021-07-02 15:04:43;REFRIGERATOR;OFF
2021-07-02 15:04:43;fridge operation;END
2021-07-02 15:11:10;TV;OFF
2021-07-02 15:11:11;TV;ON
2021-07-02 15:38:31;TV;OFF
2021-07-02 15:38:32;TV;ON
2021-07-02 15:48:12;TV;OFF
2021-07-02 15:48:13;TV;ON
2021-07-02 15:59:51;TV;OFF
2021-07-02 15:59:51;watching TV;END
2021-07-02 16:15:51;TV;OFF
2021-07-02 16:15:51;watching TV;END
2021-07-02 16:25:27;fridge operation;START
2021-07-02 16:25:27;REFRIGERATOR;ON
2021-07-02 16:39:09;REFRIGERATOR;OFF
2021-07-02 16:39:09;fridge operation;END
2021-07-02 16:57:19;fridge operation;START
2021-07-02 16:57:19;REFRIGERATOR;ON
2021-07-02 17:11:01;REFRIGERATOR;OFF
2021-07-02 17:11:01;fridge operation;END
2021-07-02 17:59:13;fridge operation;START
2021-07-02 17:59:13;REFRIGERATOR;ON
2021-07-02 18:01:00;watching TV;START
2021-07-02 18:01:00;TV;ON
2021-07-02 18:12:55;REFRIGERATOR;OFF
2021-07-02 18:12:55;fridge operation;END
2021-07-02 18:29:40;use a personal computer;START
2021-07-02 18:29:40;PC;ON
2021-07-02 19:01:05;PC;OFF
2021-07-02 19:01:05;use a personal computer;END
2021-07-02 19:13:31;fridge operation;START
2021-07-02 19:13:31;REFRIGERATOR;ON
2021-07-02 19:16:12;TV;OFF
2021-07-02 19:16:13;TV;ON
2021-07-02 19:27:13;REFRIGERATOR;OFF
2021-07-02 19:27:13;fridge operation;END
2021-07-02 19:45:56;TV;OFF
2021-07-02 19:45:56;watching TV;END
2021-07-02 20:14:05;fridge operation;START
2021-07-02 20:14:05;REFRIGERATOR;ON
2021-07-02 20:27:47;REFRIGERATOR;OFF
2021-07-02 20:27:47;fridge operation;END
2021-07-02 20:53:49;use a personal computer;START
2021-07-02 20:53:49;PC;ON
2021-07-02 21:14:51;use a personal computer;START
2021-07-02 21:14:51;PC;ON
2021-07-02 21:15:54;fridge operation;START
2021-07-02 21:15:54;REFRIGERATOR;ON
2021-07-02 21:25:14;PC;OFF
2021-07-02 21:25:14;use a personal computer;END
2021-07-02 21:29:36;REFRIGERATOR;OFF
2021-07-02 21:29:36;fridge operation;END
2021-07-02 21:46:16;PC;OFF
2021-07-02 21:46:16;use a personal computer;END
2021-07-02 21:46:23;use a personal computer;START
2021-07-02 21:46:23;PC;ON
2021-07-02 22:17:48;PC;OFF
2021-07-02 22:17:48;use a personal computer;END
2021-07-02 22:34:50;fridge operation;START
2021-07-02 22:34:50;REFRIGERATOR;ON
2021-07-02 22:48:32;REFRIGERATOR;OFF
2021-07-02 22:48:32;fridge operation;END
2021-07-03 00:00:00;fridge operation;START
2021-07-03 00:00:00;REFRIGERATOR;ON
2021-07-03 00:13:42;REFRIGERATOR;OFF
2021-07-03 00:13:42;fridge operation;END
2021-07-03 00:55:41;fridge operation;START
2021-07-03 00:55:41;REFRIGERATOR;ON
2021-07-03 01:09:23;REFRIGERATOR;OFF
2021-07-03 01:09:23;fridge operation;END
2021-07-03 01:40:08;fridge operation;START
2021-07-03 01:40:08;REFRIGERATOR;ON
2021-07-03 01:53:50;REFRIGERATOR;OFF
2021-07-03 01:53:50;fridge operation;END
2021-07-03 02:53:12;fridge operation;START
2021-07-03 02:53:12;REFRIGERATOR;ON
2021-07-03 03:06:54;REFRIGERATOR;OFF
2021-07-03 03:06:54;fridge operation;END
2021-07-03 04:02:10;fridge operation;START
2021-07-03 04:02:10;REFRIGERATOR;ON
2021-07-03 04:15:52;REFRIGERATOR;OFF
2021-07-03 04:15:52;fridge operation;END
2021-07-03 04:37:10;fridge operation;START
2021-07-03 04:37:10;REFRIGERATOR;ON
2021-07-03 04:50:52;REFRIGERATOR;OFF
2021-07-03 04:50:52;fridge operation;END
2021-07-03 05:19:49;fridge operation;START
2021-07-03 05:19:49;REFRIGERATOR;ON
2021-07-03 05:33:31;REFRIGERATOR;OFF
2021-07-03 05:33:31;fridge operation;END
2021-07-03 06:12:30;fridge operation;START
2021-07-03 06:12:30;REFRIGERATOR;ON
2021-07-03 06:26:12;REFRIGERATOR;OFF
2021-07-03 06:26:12;fridge operation;END
2021-07-03 06:59:24;fridge operation;START
2021-07-03 06:59:24;REFRIGERATOR;ON
2021-07-03 07:13:06;REFRIGERATOR;OFF
2021-07-03 07:13:06;fridge operation;END
2021-07-03 07:50:10;fridge operation;START
2021-07-03 07:50:10;REFRIGERATOR;ON
2021-07-03 08:03:52;REFRIGERATOR;OFF
2021-07-03 08:03:52;fridge operation;END
2021-07-03 08:44:26;fridge operation;START
2021-07-03 08:44:26;REFRIGERATOR;ON
2021-07-03 08:58:08;REFRIGERATOR;OFF
2021-07-03 08:58:08;fridge operation;END
2021-07-03 09:23:53;fridge operation;START
2021-07-03 09:23:53;REFRIGERATOR;ON
2021-07-03 09:37:35;REFRIGERATOR;OFF
2021-07-03 09:37:35;fridge operation;END
2021-07-03 10:20:08;fridge operation;START
2021-07-03 10:20:08;REFRIGERATOR;ON
2021-07-03 10:33:50;REFRIGERATOR;OFF
2021-07-03 10:33:50;fridge operation;END
2021-07-03 11:20:12;fridge operation;START
2021-07-03 11:20:12;REFRIGERATOR;ON
2021-07-03 11:33:54;REFRIGERATOR;OFF
2021-07-03 11:33:54;fridge operation;END
2021-07-03 12:11:32;fridge operation;START
2021-07-03 12:11:32;REFRIGERATOR;ON
2021-07-03 12:25:14;REFRIGERATOR;OFF
2021-07-03 12:25:14;fridge operation;END
2021-07-03 13:05:57;fridge operation;START
2021-07-03 13:05:57;REFRIGERATOR;ON
2021-07-03 13:19:39;REFRIGERATOR;OFF
2021-07-03 13:19:39;fridge operation;END
2021-07-03 13:39:55;fridge operation;START
2021-07-03 13:39:55;REFRIGERATOR;ON
2021-07-03 13:53:37;REFRIGERATOR;OFF
2021-07-03 13:53:37;fridge operation;END
2021-07-03 14:42:22;fridge operation;START
2021-07-03 14:42:22;REFRIGERATOR;ON
2021-07-03 14:56:04;REFRIGERATOR;OFF
2021-07-03 14:56:04;fridge operation;END
2021-07-03 15:26:36;fridge operation;START
2021-07-03 15:26:36;REFRIGERATOR;ON
2021-07-03 15:40:18;REFRIGERATOR;OFF
2021-07-03 15:40:18;fridge operation;END
2021-07-03 16:36:27;fridge operation;START
2021-07-03 16:36:27;REFRIGERATOR;ON
2021-07-03 16:50:09;REFRIGERATOR;OFF
2021-07-03 16:50:09;fridge operation;END
2021-07-03 17:27:13;watching TV;START
2021-07-03 17:27:13;TV;ON
